NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,[25],[04],[02],[29],[30],90
3,12/10/1997,70,10,79,83,48,75
4,13/12/1997,14,88,01,23,78,02
5,17/12/1997,[77],61,05,22,34,62
6,20/12/1997,65,86,80,81,10,77
7,24/12/1997,48,90,27,58,03,78
8,27/12/1997,85,75,63,13,87,59
9,31/12/1997,55,26,35,43,67,08
10,04/01/1998,86,89,36,71,76,34
11,07/01/1998,55,43,42,72,31,17
12,08/01/1998,79,33,[37],47,25,48
13,14/01/1998,72,05,38,14,50,[37]
14,17/01/1998,52,53,16,82,[49],[37]
15,21/01/1998,55,51,74,29,37,[49]
16,24/01/1998,25,85,22,26,59,49
17,28/01/1998,43,04,[03],81,56,39
18,31/01/1998,49,79,63,02,51,03
19,05/02/1998,13,34,78,33,[06],26
20,09/02/1998,79,23,77,28,12,06
21,12/02/1998,43,45,83,48,90,01
22,14/02/1998,23,77,36,67,09,[66]
23,18/02/1998,46,58,37,40,51,66
24,21/02/1998,12,41,50,29,10,45
25,25/02/1998,84,60,19,73,47,04
26,28/02/1998,85,82,81,27,01,40
27,01/03/1998,87,68,88,13,75,79
28,06/03/1998,82,29,36,02,72,90
29,10/03/1998,87,84,48,80,50,81
30,14/03/1998,02,34,63,09,46,13
31,18/03/1998,88,42,89,33,86,16
32,21/03/1998,01,61,[38],71,05,[17]
33,25/03/1998,80,77,30,51,[17],38
34,28/03/1998,05,55,[62],73,06,17
35,02/04/1998,16,50,58,40,63,62
36,03/04/1998,82,23,35,48,18,24
37,04/04/1998,88,79,[84],28,59,36
38,07/04/1998,01,[49],07,87,21,84
39,11/04/1998,29,52,42,53,67,49
40,15/04/1998,87,06,72,75,81,54
41,18/04/1998,04,46,[47],05,73,82
42,22/04/1998,17,85,38,56,76,47
43,27/04/1998,05,46,86,40,22,87
44,29/04/1998,76,63,80,62,18,36
45,08/05/1998,29,23,15,50,69,27
46,09/05/1998,85,56,07,[24],79,40
47,12/05/1998,23,15,87,20,16,24
48,13/05/1998,79,47,59,35,48,27
49,16/05/1998,15,83,41,81,57,06
50,20/05/1998,85,07,68,71,[25],19
51,23/05/1998,50,13,43,22,05,25
52,27/05/1998,07,58,37,12,24,81
53,30/05/1998,36,65,73,56,48,71
