NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,36,39,41,72,76
3,12/10/1997,[02],04,20,25,29,30
4,13/12/1997,02,01,04,14,20,23
5,17/12/1997,02,01,04,05,14,20
6,20/12/1997,02,77,01,04,05,10
7,24/12/1997,02,77,78,01,03,04
8,27/12/1997,02,77,78,01,03,04
9,31/12/1997,02,77,78,01,03,04
10,04/01/1998,02,34,36,76,77,78
11,07/01/1998,02,34,36,43,55,72
12,08/01/1998,02,25,34,36,43,48
13,14/01/1998,72,02,05,14,25,34
14,17/01/1998,[37],72,02,05,14,25
15,21/01/1998,37,55,72,02,05,14
16,24/01/1998,37,25,49,55,72,02
17,28/01/1998,37,25,43,[49],55,72
18,31/01/1998,37,49,02,03,25,43
19,05/02/1998,37,49,02,03,25,26
20,09/02/1998,37,49,02,03,25,26
21,12/02/1998,37,43,49,02,03,25
22,14/02/1998,[37],43,49,77,02,03
23,18/02/1998,37,43,49,77,02,03
24,21/02/1998,37,43,49,77,02,03
25,25/02/1998,37,43,49,77,02,03
26,28/02/1998,37,43,49,77,01,02
27,01/03/1998,37,43,49,77,79,01
28,06/03/1998,37,02,29,36,43,49
29,10/03/1998,37,[02],29,36,43,48
30,14/03/1998,02,37,13,29,34,36
31,18/03/1998,02,37,13,29,34,36
32,21/03/1998,02,37,01,13,29,34
33,25/03/1998,02,37,77,01,13,29
34,28/03/1998,02,37,77,01,05,13
35,02/04/1998,02,37,77,01,05,13
36,03/04/1998,02,37,48,77,01,05
37,04/04/1998,02,36,37,48,77,79
38,07/04/1998,01,02,36,37,48,[49]
39,11/04/1998,49,01,02,29,36,37
40,15/04/1998,49,01,02,29,36,37
41,18/04/1998,49,01,02,05,29,36
42,22/04/1998,49,01,02,[05],17,29
43,27/04/1998,05,49,87,01,02,17
44,29/04/1998,05,36,49,87,01,02
45,08/05/1998,05,29,36,49,87,01
46,09/05/1998,05,29,36,49,79,[87]
47,12/05/1998,87,05,23,29,36,49
48,13/05/1998,79,87,05,23,29,36
49,16/05/1998,79,87,05,23,29,36
50,20/05/1998,79,87,[05],23,29,36
51,23/05/1998,05,79,87,23,29,36
52,27/05/1998,05,79,81,87,23,29
53,30/05/1998,05,36,48,79,81,87
54,05/06/1998,[05],29,36,48,79,[81]
55,06/06/1998,05,81,29,36,48,79
56,13/06/1998,05,81,29,36,48,79
57,17/06/1998,05,81,13,29,36,48
58,20/06/1998,05,81,13,29,36,48
59,24/06/1998,05,81,13,29,36,48
60,27/06/1998,05,79,81,13,29,36
61,01/07/1998,05,79,81,13,[29],36
62,02/07/1998,05,29,79,81,13,[23]
63,03/07/1998,05,23,29,79,81,13
64,10/07/1998,05,23,29,79,81,02
65,11/07/1998,05,13,23,29,79,81
66,15/07/1998,05,13,23,29,79,81
67,18/07/1998,05,13,23,29,48,79
68,22/07/1998,05,13,23,29,36,48
69,25/07/1998,81,05,13,23,29,36
70,29/07/1998,81,05,13,23,29,36
71,04/08/1998,81,05,13,23,25,29
72,07/08/1998,81,[05],13,23,25,29
73,08/08/1998,05,48,81,13,23,25
74,17/08/1998,05,48,81,13,23,25
75,19/08/1998,05,48,81,13,23,25
76,22/08/1998,05,[48],81,13,23,25
77,26/08/1998,48,05,36,81,13,23
78,29/08/1998,48,05,36,81,13,23
79,05/09/1998,48,[05],36,72,81,13
80,09/09/1998,05,48,36,72,81,13
81,12/09/1998,05,48,25,36,71,72
82,16/09/1998,05,48,81,25,36,71
83,19/09/1998,05,48,81,25,29,36
84,23/09/1998,05,48,81,25,29,36
85,26/09/1998,05,48,81,25,29,36
86,30/09/1998,05,48,81,25,29,36
87,01/10/1998,05,48,81,25,29,36
88,06/10/1998,[05],40,48,81,25,29
89,10/10/1998,05,40,48,81,25,29
90,14/10/1998,05,40,48,81,25,29
91,17/10/1998,05,40,48,81,25,29
92,21/10/1998,05,40,48,81,13,25
93,24/10/1998,05,40,48,72,81,13
94,28/10/1998,05,40,48,72,81,13
95,31/10/1998,05,37,40,48,72,81
96,02/11/1998,05,37,40,48,72,81
97,03/11/1998,05,37,40,48,72,81
98,04/11/1998,05,25,37,40,48,72
99,07/11/1998,05,81,23,25,37,40
100,11/11/1998,05,[81],23,25,37,40
101,14/11/1998,81,05,23,25,37,40
102,18/11/1998,81,05,23,25,37,40
103,21/11/1998,81,05,23,25,37,40
104,25/11/1998,81,05,43,23,25,36
105,28/11/1998,81,05,43,23,25,36
106,08/12/1998,81,05,40,43,50,23
107,09/12/1998,81,05,40,43,50,88
108,12/12/1998,81,05,[37],[40],43,48
109,16/12/1998,37,40,81,05,[43],48
110,19/12/1998,37,40,43,81,05,48
111,23/12/1998,37,40,43,50,81,05
112,28/12/1998,37,40,[43],50,81,05
113,30/12/1998,43,37,40,50,81,05
114,09/01/1999,43,37,40,50,81,[05]
115,12/01/1999,43,05,37,40,50,81
116,13/01/1999,43,05,37,40,50,81
117,16/01/1999,43,05,[37],40,50,81
118,20/01/1999,37,[43],05,40,50,81
119,23/01/1999,43,37,05,40,48,50
120,27/01/1999,43,37,05,36,40,[48]
121,30/01/1999,43,37,48,05,36,[40]
122,01/02/1999,43,37,40,48,05,36
123,06/02/1999,43,37,40,48,88,05
124,10/02/1999,43,37,40,[48],72,88
125,13/02/1999,43,48,37,40,72,88
126,17/02/1999,43,48,37,40,72,88
127,20/02/1999,43,48,37,40,72,88
128,24/02/1999,43,48,37,40,63,72
129,27/02/1999,43,48,37,40,63,72
130,02/03/1999,43,48,88,37,40,63
131,03/03/1999,43,48,88,37,[40],63
132,04/03/1999,40,43,[48],88,37,63
133,05/03/1999,48,40,43,88,37,63
134,07/03/1999,48,40,43,88,37,49
135,11/03/1999,48,40,43,88,37,49
136,13/03/1999,48,40,43,[72],88,37
137,17/03/1999,48,72,40,43,88,06
138,20/03/1999,48,72,40,[43],[88],06
139,24/03/1999,43,48,72,88,40,06
140,27/03/1999,43,48,72,88,40,[81]
141,31/03/1999,43,48,72,81,88,40
142,08/04/1999,43,48,72,81,88,40
143,09/04/1999,43,48,72,[81],88,[40]
144,12/04/1999,81,40,43,48,72,88
145,14/04/1999,81,40,43,48,72,88
146,17/04/1999,81,40,43,48,63,72
147,21/04/1999,81,40,43,48,63,72
148,24/04/1999,81,40,43,48,63,72
149,28/04/1999,81,40,43,48,63,72
150,05/05/1999,[81],40,43,48,63,72
151,06/05/1999,81,88,40,43,48,63
152,15/05/1999,81,88,40,43,48,63
153,19/05/1999,81,72,88,40,43,48
154,22/05/1999,81,72,88,40,[43],48
155,26/05/1999,81,43,72,88,40,48
156,29/05/1999,81,43,72,88,40,48
157,02/06/1999,81,43,72,88,40,48
158,03/06/1999,81,43,72,88,40,48
159,10/06/1999,81,43,72,88,40,48
160,11/06/1999,81,43,72,88,40,48
161,16/06/1999,81,43,72,88,06,40
162,19/06/1999,81,43,72,88,06,40
163,23/06/1999,81,43,72,88,06,23
164,26/06/1999,81,43,72,88,06,[23]
165,30/06/1999,81,23,37,43,72,88
166,01/07/1999,81,23,37,[43],72,88
167,04/07/1999,43,81,23,37,72,88
168,07/07/1999,43,81,13,23,37,40
169,08/07/1999,43,81,13,23,37,40
170,14/07/1999,43,81,[88],13,23,37
171,17/07/1999,88,43,63,81,13,23
172,21/07/1999,88,43,63,81,13,23
173,24/07/1999,88,43,63,81,[13],[23]
174,28/07/1999,88,[13],23,43,63,81
175,31/07/1999,13,88,23,43,63,81
176,05/08/1999,13,88,23,43,63,[81]
177,09/08/1999,13,81,88,23,43,63
178,14/08/1999,13,[81],88,23,43,48
179,18/08/1999,81,[13],88,23,43,48
180,21/08/1999,13,81,88,23,43,48
181,25/08/1999,13,81,63,88,23,37
182,28/08/1999,13,81,63,88,23,37
183,01/09/1999,[13],81,63,88,[23],37
184,06/09/1999,13,81,23,63,88,37
185,10/09/1999,13,81,23,63,88,37
186,12/09/1999,13,81,23,63,80,[88]
187,15/09/1999,13,81,88,23,37,63
188,18/09/1999,13,81,[88],23,37,63
189,22/09/1999,13,88,81,23,37,63
190,25/09/1999,13,88,80,81,23,[37]
191,29/09/1999,13,88,37,80,81,23
192,02/10/1999,13,88,37,72,[80],81
193,03/10/1999,13,80,88,37,[72],81
194,04/10/1999,13,72,80,88,37,81
195,07/10/1999,13,72,80,88,37,81
196,11/10/1999,13,72,[80],88,37,67
