NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,01,[02],03,[04],05,06
3,12/10/1997,[01],03,05,06,07,08
4,13/12/1997,03,[05],06,07,08,09
5,17/12/1997,03,06,07,08,09,[10]
6,20/12/1997,[03],06,07,08,09,11
7,24/12/1997,06,07,08,09,11,12
8,27/12/1997,06,07,[08],09,11,12
9,31/12/1997,06,07,09,11,12,15
10,04/01/1998,06,07,09,11,12,15
11,07/01/1998,06,07,09,11,12,15
12,08/01/1998,06,07,09,11,12,15
13,14/01/1998,06,07,09,11,12,15
14,17/01/1998,06,07,09,11,12,15
15,21/01/1998,06,07,09,11,12,15
16,24/01/1998,06,07,09,11,12,15
17,28/01/1998,06,07,09,11,12,15
18,31/01/1998,[06],07,09,11,12,15
19,05/02/1998,07,09,11,[12],15,18
20,09/02/1998,07,09,11,15,18,19
21,12/02/1998,07,[09],11,15,18,19
22,14/02/1998,07,11,15,18,19,21
23,18/02/1998,07,11,15,18,19,21
24,21/02/1998,07,11,15,18,[19],21
25,25/02/1998,07,11,15,18,21,24
26,28/02/1998,07,11,15,18,21,24
27,01/03/1998,07,11,15,18,21,24
28,06/03/1998,07,11,15,18,21,24
29,10/03/1998,07,11,15,18,21,24
30,14/03/1998,07,11,15,18,21,24
31,18/03/1998,07,11,15,18,21,24
32,21/03/1998,07,11,15,18,21,24
33,25/03/1998,07,11,15,18,21,24
34,28/03/1998,07,11,15,18,21,24
35,02/04/1998,07,11,15,[18],21,[24]
36,03/04/1998,07,11,15,21,32,44
37,04/04/1998,[07],11,15,[21],32,44
38,07/04/1998,11,15,32,44,54,57
39,11/04/1998,11,15,32,44,[54],57
40,15/04/1998,11,15,32,44,57,64
41,18/04/1998,11,15,32,44,57,64
42,22/04/1998,11,15,32,44,57,64
43,27/04/1998,11,15,32,44,57,64
44,29/04/1998,11,[15],32,44,57,64
45,08/05/1998,11,32,44,57,64,70
46,09/05/1998,11,32,44,57,64,70
47,12/05/1998,11,32,44,57,64,70
48,13/05/1998,11,32,44,[57],64,70
49,16/05/1998,11,32,44,64,70,65
50,20/05/1998,11,32,44,64,70,65
