NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,21,22,23,49,75,79
3,12/10/1997,06,21,22,[23],72,73
4,13/12/1997,06,21,[22],49,68,73
5,17/12/1997,06,21,22,49,68,88
6,20/12/1997,06,21,22,49,79,88
7,24/12/1997,06,21,22,49,79,88
8,27/12/1997,21,22,49,79,81,88
9,31/12/1997,21,22,49,68,78,79
10,04/01/1998,22,49,68,75,78,79
11,07/01/1998,29,49,68,75,78,[79]
12,08/01/1998,08,29,49,68,75,78
13,14/01/1998,08,48,[49],56,68,78
14,17/01/1998,[29],[37],[49],56,68,78
15,21/01/1998,14,29,37,[49],56,78
16,24/01/1998,09,29,37,49,[56],78
17,28/01/1998,29,37,[49],52,72,78
18,31/01/1998,29,37,49,52,72,[78]
19,05/02/1998,08,29,37,49,52,72
20,09/02/1998,08,14,29,37,49,52
21,12/02/1998,08,29,37,49,52,82
22,14/02/1998,04,29,[37],49,63,82
23,18/02/1998,04,[29],37,49,63,82
24,21/02/1998,[04],29,37,49,63,82
25,25/02/1998,29,37,49,56,63,[82]
26,28/02/1998,04,27,37,49,63,82
27,01/03/1998,27,37,48,49,63,[82]
28,06/03/1998,04,27,37,49,63,82
29,10/03/1998,[09],29,37,48,49,82
30,14/03/1998,29,37,49,63,66,82
31,18/03/1998,29,37,46,49,68,82
32,21/03/1998,19,29,49,63,68,82
33,25/03/1998,19,29,40,49,68,82
34,28/03/1998,19,29,[40],49,[63],82
35,02/04/1998,29,40,49,63,68,[82]
36,03/04/1998,29,40,49,63,68,82
37,04/04/1998,29,40,[49],63,68,82
38,07/04/1998,[29],40,[49],66,68,82
39,11/04/1998,40,49,63,66,68,82
40,15/04/1998,29,49,63,66,79,[82]
41,18/04/1998,29,40,49,63,79,82
42,22/04/1998,29,[40],49,63,79,82
43,27/04/1998,29,40,48,49,[63],82
44,29/04/1998,[29],40,49,63,79,82
45,08/05/1998,29,[40],49,63,82,88
46,09/05/1998,29,40,49,63,82,88
