NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,83,20,81,71,28,54
3,12/10/1997,20,41,83,90,72,28
4,13/12/1997,20,02,39,41,72,90
5,17/12/1997,20,02,39,41,26,14
6,20/12/1997,20,02,39,62,45,14
7,24/12/1997,20,02,39,77,62,90
8,27/12/1997,20,90,02,77,39,62
9,31/12/1997,90,20,77,78,48,26
10,04/01/1998,90,26,20,48,78,77
11,07/01/1998,90,26,43,34,36,08
12,08/01/1998,43,55,34,48,36,26
13,14/01/1998,43,48,55,34,36,72
14,17/01/1998,48,72,43,[55],36,34
15,21/01/1998,55,72,48,43,[25],36
16,24/01/1998,55,72,25,48,37,[43]
17,28/01/1998,55,25,37,72,43,48
18,31/01/1998,55,37,25,43,49,72
19,05/02/1998,49,55,37,43,25,26
20,09/02/1998,49,26,55,37,[43],25
21,12/02/1998,49,26,79,43,55,37
22,14/02/1998,79,49,26,43,48,55
23,18/02/1998,79,26,43,49,37,48
24,21/02/1998,79,43,37,26,49,51
25,25/02/1998,37,51,79,77,43,26
26,28/02/1998,37,51,77,[79],43,23
27,01/03/1998,79,37,51,77,43,23
28,06/03/1998,79,37,29,51,77,36
29,10/03/1998,79,29,82,36,81,37
30,14/03/1998,29,81,79,82,13,36
31,18/03/1998,13,81,02,29,82,36
32,21/03/1998,13,02,81,29,36,50
33,25/03/1998,13,02,81,29,01,50
34,28/03/1998,13,02,01,81,38,29
35,02/04/1998,38,17,13,02,01,50
36,03/04/1998,17,38,50,13,77,01
37,04/04/1998,17,38,50,13,77,63
38,07/04/1998,17,38,50,01,63,16
39,11/04/1998,17,01,50,38,84,63
40,15/04/1998,17,01,87,84,50,38
41,18/04/1998,87,01,[17],84,82,49
42,22/04/1998,[87],82,17,[05],49,84
43,27/04/1998,87,05,17,82,49,38
44,29/04/1998,87,05,17,82,46,47
45,08/05/1998,87,05,17,46,47,38
46,09/05/1998,[87],05,46,17,47,63
47,12/05/1998,87,05,46,40,17,[47]
48,13/05/1998,87,05,40,47,24,23
49,16/05/1998,87,24,47,23,40,05
50,20/05/1998,87,24,47,85,79,23
51,23/05/1998,87,85,[07],[24],15,47
52,27/05/1998,07,24,85,15,87,47
53,30/05/1998,07,24,85,15,50,81
54,05/06/1998,07,24,85,[81],50,15
55,06/06/1998,07,24,81,05,71,85
56,13/06/1998,07,81,05,56,24,71
57,17/06/1998,81,56,07,05,86,71
58,20/06/1998,56,81,86,13,05,07
59,24/06/1998,86,13,56,81,05,71
60,27/06/1998,86,13,65,56,81,24
61,01/07/1998,65,86,13,[24],81,67
62,02/07/1998,65,24,13,86,67,39
63,03/07/1998,24,65,20,16,13,86
64,10/07/1998,24,64,20,65,16,34
65,11/07/1998,64,24,20,65,23,34
66,15/07/1998,64,24,57,23,20,34
67,18/07/1998,64,57,19,23,40,24
68,22/07/1998,64,12,57,19,40,23
69,25/07/1998,71,64,12,19,85,57
70,29/07/1998,71,85,12,64,70,19
71,04/08/1998,71,85,70,12,68,25
72,07/08/1998,71,85,68,70,25,12
73,08/08/1998,71,68,25,85,70,88
