NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,72,36,39,41,76
3,12/10/1997,04,29,[02],25,30,20
4,13/12/1997,14,23,02,01,88,20
5,17/12/1997,02,14,01,20,09,04
6,20/12/1997,02,01,14,62,77,80
7,24/12/1997,02,77,01,78,03,04
8,27/12/1997,02,01,78,77,09,03
9,31/12/1997,01,78,77,02,03,04
10,04/01/1998,78,02,77,34,29,36
11,07/01/1998,34,36,43,55,72,02
12,08/01/1998,48,25,34,36,43,02
13,14/01/1998,72,05,14,[37],50,34
14,17/01/1998,72,05,[37],14,25,02
15,21/01/1998,55,37,72,29,[49],51
16,24/01/1998,37,25,55,49,72,02
17,28/01/1998,25,37,55,43,[49],72
18,31/01/1998,49,37,25,43,55,02
19,05/02/1998,37,49,26,55,25,43
20,09/02/1998,37,49,55,25,26,03
21,12/02/1998,37,49,43,55,79,26
22,14/02/1998,43,79,49,[37],48,55
23,18/02/1998,37,43,49,79,48,51
24,21/02/1998,37,43,49,03,79,51
25,25/02/1998,37,43,77,03,79,49
26,28/02/1998,37,43,77,[79],51,49
27,01/03/1998,79,37,43,77,49,51
28,06/03/1998,37,29,79,36,02,49
29,10/03/1998,37,29,79,36,[02],43
30,14/03/1998,29,36,13,02,82,81
31,18/03/1998,02,29,36,13,82,37
32,21/03/1998,02,29,13,36,01,37
33,25/03/1998,02,29,01,13,37,50
34,28/03/1998,02,01,13,29,05,37
35,02/04/1998,02,50,01,13,37,77
36,03/04/1998,77,48,37,01,02,05
37,04/04/1998,36,79,37,02,77,48
38,07/04/1998,01,37,[49],02,36,48
39,11/04/1998,29,49,37,01,36,52
40,15/04/1998,37,29,49,36,01,87
41,18/04/1998,49,82,29,01,05,36
42,22/04/1998,49,17,[05],29,82,01
43,27/04/1998,05,17,87,49,01,38
44,29/04/1998,05,01,87,17,36,18
45,08/05/1998,05,01,17,38,87,29
46,09/05/1998,05,79,63,[87],17,40
47,12/05/1998,87,05,40,23,63,[79]
48,13/05/1998,79,47,05,27,35,48
49,16/05/1998,05,79,23,36,87,40
50,20/05/1998,79,23,87,47,[05],85
51,23/05/1998,05,87,13,22,25,50
52,27/05/1998,05,81,87,79,07,24
53,30/05/1998,05,79,87,81,36,48
54,05/06/1998,[81],[05],79,15,29,50
55,06/06/1998,05,81,79,15,29,36
56,13/06/1998,05,24,[13],18,22,56
57,17/06/1998,05,13,86,26,34,81
58,20/06/1998,05,13,81,86,07,56
59,24/06/1998,05,81,13,48,86,24
60,27/06/1998,81,05,13,79,24,86
61,01/07/1998,81,05,13,79,[24],86
62,02/07/1998,05,13,24,79,81,[23]
63,03/07/1998,05,13,79,81,86,23
64,10/07/1998,05,79,81,24,02,34
65,11/07/1998,05,13,29,79,23,24
66,15/07/1998,05,13,29,79,81,23
67,18/07/1998,05,29,79,13,23,48
68,22/07/1998,05,13,29,23,36,48
69,25/07/1998,81,71,85,56,75,05
70,29/07/1998,81,05,29,71,85,70
71,04/08/1998,25,81,05,29,68,71
72,07/08/1998,25,81,[05],29,71,85
73,08/08/1998,05,48,81,24,13,25
74,17/08/1998,05,48,81,13,25,83
75,19/08/1998,25,48,05,81,83,13
76,22/08/1998,[48],25,81,05,13,[83]
77,26/08/1998,48,83,36,63,90,71
78,29/08/1998,48,83,71,05,36,76
79,05/09/1998,48,83,71,[05],36,12
80,09/09/1998,05,48,72,13,[71],83
81,12/09/1998,71,25,48,72,83,05
82,16/09/1998,25,05,71,43,48,81
83,19/09/1998,25,05,48,43,71,22
84,23/09/1998,25,05,22,43,13,50
85,26/09/1998,25,05,22,43,48,68
86,30/09/1998,05,25,22,43,48,67
87,01/10/1998,05,25,22,34,48,74
88,06/10/1998,40,[05],25,33,37,22
89,10/10/1998,05,40,68,19,71,25
90,14/10/1998,05,40,19,25,68,43
91,17/10/1998,05,43,68,25,19,40
92,21/10/1998,05,40,13,10,25,48
93,24/10/1998,05,72,13,43,40,50
94,28/10/1998,05,13,40,72,68,74
95,31/10/1998,05,72,37,40,68,64
96,02/11/1998,05,37,40,72,[68],73
97,03/11/1998,05,68,37,40,72,73
98,04/11/1998,37,40,72,68,76,05
99,07/11/1998,05,23,37,40,81,64
100,11/11/1998,73,84,05,15,37,04
101,14/11/1998,60,81,64,73,80,68
102,18/11/1998,60,73,80,81,76,37
103,21/11/1998,81,60,63,80,05,37
104,25/11/1998,81,43,15,[56],63,36
105,28/11/1998,43,81,[15],56,83,89
106,08/12/1998,50,43,15,81,40,12
107,09/12/1998,50,81,43,15,88,05
108,12/12/1998,[37],48,81,84,87,43
109,16/12/1998,40,37,42,86,[43],81
110,19/12/1998,40,37,43,15,[50],56
111,23/12/1998,37,50,43,40,15,63
112,28/12/1998,37,[43],50,40,05,15
113,30/12/1998,43,37,50,56,14,76
114,09/01/1999,43,37,50,36,03,[05]
115,12/01/1999,43,37,50,05,40,81
116,13/01/1999,43,37,50,03,05,09
117,16/01/1999,43,[37],50,81,45,05
118,20/01/1999,37,[43],86,50,81,12
119,23/01/1999,43,48,37,01,[45],50
120,27/01/1999,43,36,37,[48],09,45
121,30/01/1999,43,37,48,36,01,09
122,01/02/1999,43,36,48,01,37,56
123,06/02/1999,43,37,88,48,01,12
124,10/02/1999,43,88,37,45,[48],72
125,13/02/1999,88,43,48,37,72,45
126,17/02/1999,88,43,48,12,[45],72
127,20/02/1999,88,43,48,45,12,37
128,24/02/1999,43,48,37,72,12,45
129,27/02/1999,43,37,63,72,12,45
130,02/03/1999,43,88,37,48,63,40
131,03/03/1999,88,43,45,37,63,48
132,04/03/1999,88,40,37,43,45,63
133,05/03/1999,48,88,80,37,40,43
134,07/03/1999,37,40,43,48,88,49
135,11/03/1999,48,49,37,80,40,43
136,13/03/1999,48,[72],40,43,88,37
137,17/03/1999,06,72,48,40,43,88
138,20/03/1999,48,[43],72,[88],06,45
139,24/03/1999,43,88,72,71,89,06
140,27/03/1999,43,72,88,65,[81],12
141,31/03/1999,43,72,81,88,07,80
142,08/04/1999,43,48,72,88,25,71
143,09/04/1999,48,72,88,[81],80,43
144,12/04/1999,81,48,72,88,40,45
145,14/04/1999,48,72,80,81,88,40
146,17/04/1999,81,48,80,63,90,37
147,21/04/1999,81,48,80,83,37,45
148,24/04/1999,81,48,83,45,65,88
149,28/04/1999,81,48,83,45,65,88
150,05/05/1999,[81],48,80,83,45,65
151,06/05/1999,81,48,63,80,83,88
152,15/05/1999,81,63,83,88,80,48
153,19/05/1999,81,[90],71,83,88,80
154,22/05/1999,81,90,83,80,88,48
155,26/05/1999,81,88,48,80,90,43
156,29/05/1999,81,80,88,90,48,03
157,02/06/1999,81,80,88,90,48,[10]
158,03/06/1999,81,80,88,48,90,10
159,10/06/1999,81,80,88,48,90,44
160,11/06/1999,81,48,88,[87],90,[07]
161,16/06/1999,81,07,37,80,87,06
162,19/06/1999,81,03,90,07,63,66
163,23/06/1999,81,72,63,87,23,06
164,26/06/1999,81,90,[37],87,03,07
165,30/06/1999,37,81,[87],23,90,43
166,01/07/1999,37,87,81,13,90,74
167,04/07/1999,43,37,72,44,58,81
168,07/07/1999,13,37,40,43,23,81
169,08/07/1999,13,37,43,87,23,40
170,14/07/1999,13,37,[88],44,43,58
171,17/07/1999,13,88,37,44,63,23
172,21/07/1999,13,88,63,44,[58],87
173,24/07/1999,[13],88,63,44,58,87
174,28/07/1999,[13],88,63,23,43,81
175,31/07/1999,13,63,87,90,06,[34]
176,05/08/1999,13,44,23,34,63,73
177,09/08/1999,13,63,44,81,23,43
178,14/08/1999,13,44,38,74,48,37
179,18/08/1999,[13],81,34,44,64,73
180,21/08/1999,13,34,38,44,23,[67]
181,25/08/1999,13,67,23,38,74,37
182,28/08/1999,13,38,67,74,23,64
183,01/09/1999,[13],67,[23],74,20,34
184,06/09/1999,13,23,06,[77],67,74
185,10/09/1999,13,67,77,23,16,06
186,12/09/1999,13,67,77,23,80,06
187,15/09/1999,13,77,67,23,44,37
188,18/09/1999,13,77,67,16,23,73
189,22/09/1999,13,77,67,16,44,23
190,25/09/1999,77,13,67,16,44,73
191,29/09/1999,13,37,23,80,88,[16]
192,02/10/1999,16,67,13,73,27,37
193,03/10/1999,13,16,37,67,88,12
194,04/10/1999,37,13,72,88,16,67
195,07/10/1999,13,37,80,16,[67],72
196,11/10/1999,67,[80],13,37,72,04
197,13/10/1999,80,[37],67,13,72,88
198,16/10/1999,37,80,13,67,72,88
199,20/10/1999,80,[67],13,04,37,16
200,23/10/1999,80,67,37,13,04,88
201,27/10/1999,80,37,67,13,73,81
202,30/10/1999,67,80,72,13,37,04
203,08/11/1999,[67],80,13,37,73,72
204,09/11/1999,67,80,13,16,37,45
205,12/11/1999,67,13,37,[80],72,[06]
206,13/11/1999,80,67,72,06,13,27
207,17/11/1999,[80],67,[06],13,72,88
208,20/11/1999,80,06,[81],67,73,72
209,24/11/1999,80,06,73,81,67,76
210,27/11/1999,80,06,81,73,67,16
211,05/12/1999,80,81,73,06,67,[57]
212,06/12/1999,80,06,81,73,37,67
213,15/12/1999,80,06,81,73,37,67
214,18/12/1999,80,06,81,88,37,67
215,22/12/1999,80,88,37,[06],81,13
216,27/12/1999,80,06,81,37,88,13
217,29/12/1999,06,80,37,81,[88],73
218,03/01/2000,[88],20,42,79,36,[37]
219,04/01/2000,[88],37,79,80,32,20
220,07/01/2000,88,20,06,37,79,80
221,15/01/2000,88,20,37,06,80,36
222,19/01/2000,88,37,[20],06,80,36
223,22/01/2000,88,20,37,06,80,57
224,26/01/2000,88,06,20,37,80,21
225,29/01/2000,88,06,20,63,37,57
226,02/02/2000,88,20,80,37,[63],73
227,08/02/2000,88,20,63,37,57,80
228,09/02/2000,88,37,20,06,80,63
229,11/02/2000,88,20,57,06,37,80
230,12/02/2000,88,[20],[06],57,80,63
231,16/02/2000,88,20,06,57,80,63
232,19/02/2000,20,88,06,57,80,63
233,23/02/2000,06,37,88,80,57,63
234,26/02/2000,06,88,37,80,20,[57]
235,01/03/2000,88,20,57,06,37,80
236,05/03/2000,88,06,[37],80,20,57
237,06/03/2000,37,88,[06],80,20,13
238,15/03/2000,88,06,37,20,57,63
239,18/03/2000,06,88,37,80,20,17
240,22/03/2000,88,06,37,20,81,76
241,25/03/2000,06,88,37,20,57,89
242,29/03/2000,63,88,[06],37,20,51
243,03/04/2000,06,[88],57,37,63,20
244,10/04/2000,37,88,06,63,81,20
245,11/04/2000,37,06,63,81,20,57
246,15/04/2000,63,06,37,81,57,20
247,19/04/2000,06,37,63,81,20,57
248,22/04/2000,88,06,37,63,81,20
249,26/04/2000,88,06,37,63,81,20
250,29/04/2000,[88],06,37,63,81,57
251,01/05/2000,88,06,20,[37],63,42
252,02/05/2000,88,37,06,63,20,57
253,04/05/2000,88,06,37,63,[17],72
254,07/05/2000,[88],17,06,37,[63],72
255,08/05/2000,88,63,06,17,72,57
256,13/05/2000,88,06,37,17,80,72
257,17/05/2000,88,06,37,63,17,38
258,20/05/2000,88,06,37,63,17,72
259,24/05/2000,88,06,17,37,62,19
260,27/05/2000,88,06,37,17,[67],72
261,31/05/2000,88,67,37,[63],17,06
262,05/06/2000,63,88,37,17,67,08
263,09/06/2000,88,37,63,17,67,06
264,12/06/2000,88,63,67,72,06,37
265,14/06/2000,48,88,63,70,06,37
266,17/06/2000,88,63,80,06,37,67
267,21/06/2000,88,63,29,32,06,17
268,24/06/2000,88,[63],39,17,[53],57
269,28/06/2000,[63],88,53,[17],19,39
270,06/07/2000,63,88,48,17,80,20
271,10/07/2000,63,53,88,48,80,20
272,15/07/2000,63,53,08,39,88,20
273,19/07/2000,63,[53],88,20,02,[06]
274,22/07/2000,53,63,17,89,06,37
275,26/07/2000,63,[53],10,88,42,20
276,29/07/2000,63,53,37,88,20,06
277,01/08/2000,63,37,88,53,29,76
278,03/08/2000,37,63,88,06,53,[20]
279,04/08/2000,04,15,32,13,53,89
280,07/08/2000,63,53,03,88,15,21
281,11/08/2000,06,80,04,41,76,63
282,16/08/2000,53,89,63,42,88,19
283,19/08/2000,06,53,63,21,88,03
284,23/08/2000,63,15,53,32,88,39
285,26/08/2000,13,41,89,06,[15],20
286,30/08/2000,15,76,04,53,63,88
287,02/09/2000,13,15,53,[76],63,88
288,08/09/2000,06,76,08,15,88,04
289,09/09/2000,[06],15,76,88,80,04
290,12/09/2000,06,13,76,15,63,72
291,13/09/2000,06,76,88,15,20,42
292,16/09/2000,06,76,15,88,04,[08]
293,20/09/2000,06,08,76,37,88,[49]
294,23/09/2000,76,06,08,[88],[12],49
295,27/09/2000,12,88,15,63,06,08
296,30/09/2000,15,06,08,12,63,76
297,05/10/2000,06,15,08,76,63,88
298,06/10/2000,12,08,15,76,63,82
299,14/10/2000,12,15,62,[63],88,06
300,18/10/2000,63,88,37,06,12,[15]
301,21/10/2000,48,15,63,88,37,06
302,25/10/2000,63,88,37,48,06,12
303,28/10/2000,[06],39,37,15,62,63
304,03/11/2000,06,37,48,80,63,88
305,10/11/2000,37,48,12,63,88,06
306,11/11/2000,63,88,06,12,15,48
307,15/11/2000,48,06,15,39,63,88
308,18/11/2000,06,15,48,39,63,88
309,22/11/2000,06,48,15,[39],76,63
310,25/11/2000,39,[14],50,72,25,06
311,29/11/2000,06,48,[49],39,03,14
312,01/12/2000,49,06,39,13,88,[48]
313,02/12/2000,48,76,06,39,49,03
314,04/12/2000,06,48,39,49,88,14
315,07/12/2000,03,39,[49],81,06,14
316,08/12/2000,49,03,06,48,81,15
317,13/12/2000,03,49,48,81,15,52
318,16/12/2000,63,88,15,81,03,49
319,20/12/2000,15,63,88,49,81,76
320,23/12/2000,15,43,49,63,64,88
321,27/12/2000,11,33,84,49,15,63
322,30/12/2000,15,39,49,63,88,14
323,08/01/2001,[63],88,01,33,15,12
324,09/01/2001,63,39,88,05,43,53
325,12/01/2001,63,88,16,39,12,15
326,13/01/2001,48,15,[50],58,88,39
327,17/01/2001,48,81,88,50,39,06
328,20/01/2001,50,58,16,39,53,88
329,24/01/2001,39,50,48,88,82,05
330,27/01/2001,16,50,88,90,80,12
331,31/01/2001,06,81,80,76,49,56
332,05/02/2001,81,56,06,80,76,49
333,14/02/2001,06,80,81,76,49,70
334,17/02/2001,06,80,81,76,62,83
335,21/02/2001,[06],80,81,76,37,82
336,24/02/2001,06,62,56,46,[80],81
337,28/02/2001,80,06,81,56,76,62
338,01/03/2001,06,[62],70,80,81,82
339,02/03/2001,62,06,80,81,70,88
340,03/03/2001,06,80,81,62,70,88
341,10/03/2001,56,06,80,81,88,62
342,11/03/2001,06,80,81,56,14,49
343,14/03/2001,06,80,81,56,33,[62]
344,17/03/2001,06,62,56,28,80,81
345,21/03/2001,06,49,80,[81],62,85
346,24/03/2001,06,[80],81,56,49,62
347,28/03/2001,80,06,81,08,49,62
