NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
1,12/03/1997,20,36,39,41,72,76
2,12/06/1997,2,4,25,29,30,52
3,12/10/1997,1,2,14,23,78,88
4,13/12/1997,5,22,34,61,62,77
5,17/12/1997,10,65,77,80,81,86
6,20/12/1997,3,27,48,58,78,90
7,24/12/1997,13,59,63,75,85,87
8,27/12/1997,8,26,35,43,55,67
9,31/12/1997,34,36,71,76,86,89
10,04/01/1998,17,31,42,43,55,72
11,07/01/1998,25,33,37,47,48,79
12,08/01/1998,5,14,37,38,50,72
13,14/01/1998,16,37,49,52,53,82
14,17/01/1998,29,37,49,51,55,74
15,21/01/1998,22,25,26,49,59,85
16,24/01/1998,3,4,39,43,56,81
17,28/01/1998,2,3,49,51,63,79
18,31/01/1998,6,13,26,33,34,78
19,05/02/1998,6,12,23,28,77,79
20,09/02/1998,1,43,45,48,83,90
21,12/02/1998,9,23,36,66,67,77
22,14/02/1998,37,40,46,51,58,66
23,18/02/1998,10,12,29,41,45,50
24,21/02/1998,4,19,47,60,73,84
25,25/02/1998,1,27,40,81,82,85
26,28/02/1998,13,68,75,79,87,88
27,01/03/1998,2,29,36,72,82,90
28,06/03/1998,48,50,80,81,84,87
29,10/03/1998,2,9,13,34,46,63
30,14/03/1998,16,33,42,86,88,89
31,18/03/1998,1,5,17,38,61,71
32,21/03/1998,17,30,38,51,77,80
33,25/03/1998,5,6,17,55,62,73
34,28/03/1998,16,40,50,58,62,63
35,02/04/1998,18,23,24,35,48,82
36,03/04/1998,28,36,59,79,84,88
37,04/04/1998,1,7,21,49,84,87
38,07/04/1998,29,42,49,52,53,67
39,11/04/1998,6,54,72,75,81,87
40,15/04/1998,4,5,46,47,73,82
41,18/04/1998,17,38,47,56,76,85
42,22/04/1998,5,22,40,46,86,87
43,27/04/1998,18,36,62,63,76,80
44,29/04/1998,15,23,27,29,50,69
45,08/05/1998,7,24,40,56,79,85
46,09/05/1998,15,16,20,23,24,87
47,12/05/1998,27,35,47,48,59,79
48,13/05/1998,6,15,41,57,81,83
49,16/05/1998,7,19,25,68,71,85
50,20/05/1998,5,13,22,25,43,50
51,23/05/1998,7,12,24,37,58,81
52,27/05/1998,36,48,56,65,71,73
53,30/05/1998,4,11,29,34,86,88
54,05/06/1998,5,28,33,64,81,84
55,06/06/1998,13,18,22,56,67,72
56,13/06/1998,13,26,30,34,83,86
57,17/06/1998,10,16,35,39,64,65
58,20/06/1998,20,24,39,63,65,70
59,24/06/1998,19,43,59,60,67,79
60,27/06/1998,2,16,38,40,44,57
61,01/07/1998,20,23,24,29,66,73
62,02/07/1998,8,9,23,34,64,89
63,03/07/1998,2,12,57,62,64,71
64,10/07/1998,6,13,17,49,51,83
65,11/07/1998,15,19,25,33,40,68
66,15/07/1998,12,32,48,68,70,85
67,18/07/1998,1,36,42,71,72,88
68,22/07/1998,56,71,75,78,81,85
69,25/07/1998,25,37,54,63,70,76
70,29/07/1998,25,60,62,68,83,89
71,04/08/1998,4,7,22,27,39,88
72,07/08/1998,5,20,24,48,78,80
73,08/08/1998,12,27,31,32,57,83
74,17/08/1998,4,47,53,55,71,73
75,19/08/1998,6,15,16,50,62,82
76,22/08/1998,10,36,48,63,83,90
77,26/08/1998,10,40,66,72,76,80
78,29/08/1998,12,19,22,53,72,88
79,05/09/1998,5,19,43,44,73,77
80,09/09/1998,10,25,56,68,71,77
81,12/09/1998,1,11,42,43,61,81
82,16/09/1998,22,26,29,37,75,76
83,19/09/1998,3,33,45,57,78,80
84,23/09/1998,7,9,31,41,67,68
85,26/09/1998,28,31,40,67,74,90
86,30/09/1998,20,34,44,61,74,87
87,01/10/1998,24,33,37,40,60,86
88,06/10/1998,5,14,17,38,64,68
89,10/10/1998,42,43,46,49,52,76
90,14/10/1998,15,28,42,55,76,88
91,17/10/1998,10,13,50,59,64,78
92,21/10/1998,14,39,50,56,72,89
93,24/10/1998,4,26,27,74,77,84
94,28/10/1998,37,60,64,73,80,84
95,31/10/1998,1,21,30,61,73,84
96,02/11/1998,2,15,63,65,68,78
97,03/11/1998,3,23,25,44,74,89
98,04/11/1998,23,58,64,67,79,81
99,07/11/1998,15,16,17,57,60,63
100,11/11/1998,19,38,60,80,81,90
101,14/11/1998,6,31,69,70,76,85
102,18/11/1998,12,18,43,47,50,83
103,21/11/1998,32,36,43,56,66,89
104,25/11/1998,32,39,52,56,69,85
105,28/11/1998,12,15,40,50,66,88
106,08/12/1998,31,33,61,77,86,88
107,09/12/1998,14,37,48,55,84,87
108,12/12/1998,9,37,39,40,42,86
109,16/12/1998,22,43,56,71,77,83
110,19/12/1998,3,6,13,28,49,50
111,23/12/1998,3,9,14,26,47,79
112,28/12/1998,14,43,46,65,71,82
113,30/12/1998,30,36,45,49,63,89
114,09/01/1999,5,19,26,32,67,87
115,12/01/1999,1,13,24,39,44,45
116,13/01/1999,18,23,45,51,61,86
117,16/01/1999,7,9,12,37,86,90
118,20/01/1999,1,43,45,48,51,56
119,23/01/1999,36,45,46,47,74,75
120,27/01/1999,8,48,65,72,83,88
121,30/01/1999,14,20,40,58,68,84
122,01/02/1999,10,12,54,58,72,88
123,06/02/1999,2,16,17,65,69,72
124,10/02/1999,6,10,38,48,49,65
125,13/02/1999,12,20,23,34,67,87
126,17/02/1999,24,45,49,63,78,83
127,20/02/1999,4,26,59,63,69,74
128,24/02/1999,17,19,32,41,52,87
129,27/02/1999,6,7,42,55,75,88
130,02/03/1999,45,67,70,80,81,89
131,03/03/1999,40,41,51,62,66,80
132,04/03/1999,33,41,47,48,60,80
133,05/03/1999,8,49,50,65,66,69
134,07/03/1999,3,6,7,53,65,90
135,11/03/1999,19,42,64,68,72,86
136,13/03/1999,6,18,20,34,72,90
137,17/03/1999,3,7,14,45,68,70
138,20/03/1999,43,71,80,84,88,89
139,24/03/1999,4,26,34,61,76,81
140,27/03/1999,7,18,27,80,81,83
141,31/03/1999,25,60,64,71,75,85
142,08/04/1999,12,23,46,54,78,90
143,09/04/1999,38,40,41,69,76,81
144,12/04/1999,13,39,62,63,66,76
145,14/04/1999,34,63,70,77,83,90
146,17/04/1999,4,6,25,32,73,83
147,21/04/1999,20,53,55,61,64,74
148,24/04/1999,20,22,33,44,50,74
149,28/04/1999,1,51,53,55,73,86
150,05/05/1999,3,10,28,71,81,88
151,06/05/1999,9,36,52,76,77,90
152,15/05/1999,7,33,54,72,73,90
153,19/05/1999,10,23,35,64,74,90
154,22/05/1999,3,28,38,43,73,75
155,26/05/1999,3,4,13,16,59,70
156,29/05/1999,10,34,44,49,62,79
157,02/06/1999,9,10,26,30,44,54
158,03/06/1999,27,41,44,50,68,73
159,10/06/1999,38,58,61,64,82,87
160,11/06/1999,6,7,37,67,80,87
161,16/06/1999,5,20,29,41,56,86
162,19/06/1999,13,23,31,58,67,68
163,23/06/1999,31,36,37,71,86,90
164,26/06/1999,8,19,23,37,65,77
165,30/06/1999,13,22,44,74,77,87
166,01/07/1999,34,43,44,45,53,58
167,04/07/1999,13,27,40,46,70,84
168,07/07/1999,38,46,63,82,83,87
169,08/07/1999,4,16,29,58,69,88
170,14/07/1999,4,48,60,63,84,88
171,17/07/1999,5,22,35,38,74,82
172,21/07/1999,11,19,26,58,67,89
173,24/07/1999,13,16,23,52,67,78
174,28/07/1999,13,64,68,84,89,90
175,31/07/1999,5,34,44,73,77,83
176,05/08/1999,11,14,15,30,68,81
177,09/08/1999,15,38,48,74,75,80
178,14/08/1999,45,64,73,80,81,85
179,18/08/1999,13,16,51,56,65,67
180,21/08/1999,1,32,37,63,67,69
181,25/08/1999,1,25,28,39,51,89
182,28/08/1999,7,12,14,16,24,45
183,01/09/1999,1,6,13,23,53,77
184,06/09/1999,16,32,35,45,72,77
185,10/09/1999,12,35,40,59,78,80
186,12/09/1999,20,32,37,44,75,88
187,15/09/1999,17,20,27,29,72,73
188,18/09/1999,12,15,33,60,79,88
189,22/09/1999,1,11,40,50,53,80
