METRICA,VALORE,NOTE
Concorsi analizzati,4181,Conteggio archivio fino al concorso 4181
Media hit/sestina,0.38,Media numeri corretti per concorso
Hit rate >= 2,4.7%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2798,Numero concorsi con esattamente 0 hit
Con 1 hit,1186,Numero concorsi con esattamente 1 hit
Con 2 hit,185,Numero concorsi con esattamente 2 hit
Con 3 hit,11,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Media hit ultimi 100,0.42,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4181,Data estrazione: 17/04/2026
Concorso successivo stimato,4182,Sestina proposta: 02 06 08 11 16 17
Sestina proposta (prossimo concorso),02 06 08 11 16 17,Pronostico prodotto con addestramento incrementale
Top6 finestra 50,06 39 45 52 63 03,Numeri piu frequenti nelle ultime 50
Top6 finestra 100,08 52 85 02 16 18,Numeri piu frequenti nelle ultime 100
Top6 finestra 200,08 10 02 11 19 52,Numeri piu frequenti nelle ultime 200
Overlap Top6 (50/100/200),1,Numeri presenti in tutte e tre le top6
Volatilita finestre,13,Dispersione tra top list delle finestre
