NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,36,20,39,41,72,06
3,12/10/1997,72,20,36,39,76,41
4,13/12/1997,02,41,20,36,39,76
5,17/12/1997,02,41,44,20,55,56
6,20/12/1997,02,50,51,44,54,21
7,24/12/1997,02,18,50,11,51,31
8,27/12/1997,42,45,18,40,[55],60
9,31/12/1997,15,12,38,47,50,28
10,04/01/1998,15,16,[42],68,47,28
11,07/01/1998,12,15,46,[47],51,53
12,08/01/1998,15,12,57,53,66,68
13,14/01/1998,15,12,57,68,07,32
14,17/01/1998,12,15,57,66,68,56
15,21/01/1998,12,15,07,66,68,06
16,24/01/1998,15,12,69,07,66,57
17,28/01/1998,15,12,69,66,32,07
18,31/01/1998,12,15,69,66,83,73
19,05/02/1998,69,[12],15,66,83,73
20,09/02/1998,69,66,[83],15,73,09
21,12/02/1998,69,73,15,[66],[09],32
22,14/02/1998,73,19,15,[46],57,07
23,18/02/1998,73,19,15,57,07,68
24,21/02/1998,[19],[73],15,57,07,32
25,25/02/1998,69,15,57,68,32,11
26,28/02/1998,69,15,57,11,32,[68]
27,01/03/1998,69,15,57,11,32,70
28,06/03/1998,69,15,57,32,07,11
29,10/03/1998,69,57,15,32,70,11
30,14/03/1998,69,57,15,32,07,70
31,18/03/1998,69,57,32,15,18,07
32,21/03/1998,69,57,32,11,15,07
33,25/03/1998,69,57,11,70,32,15
34,28/03/1998,57,69,15,32,11,70
35,02/04/1998,57,69,32,15,70,11
36,03/04/1998,57,69,32,15,07,70
37,04/04/1998,69,57,32,15,[07],70
38,07/04/1998,69,57,32,11,15,70
39,11/04/1998,69,57,32,11,15,70
40,15/04/1998,69,57,32,11,15,70
41,18/04/1998,69,57,32,15,11,70
42,22/04/1998,57,69,32,15,11,70
43,27/04/1998,57,69,15,32,11,70
44,29/04/1998,57,[69],32,[15],11,70
45,08/05/1998,57,32,70,11,64,44
46,09/05/1998,57,32,70,11,64,44
47,12/05/1998,57,32,70,11,64,44
48,13/05/1998,[57],32,70,11,64,44
49,16/05/1998,32,70,11,64,44,08
50,20/05/1998,32,70,11,64,44,08
51,23/05/1998,32,70,11,64,44,08
52,27/05/1998,32,70,11,64,44,08
53,30/05/1998,32,[11],70,64,44,08
54,05/06/1998,70,32,[64],08,31,14
55,06/06/1998,70,32,44,08,31,14
56,13/06/1998,32,70,44,08,31,14
57,17/06/1998,32,70,44,08,31,14
58,20/06/1998,32,[70],44,08,31,14
59,24/06/1998,32,44,08,31,14,74
60,27/06/1998,32,[44],08,31,14,74
61,01/07/1998,32,08,31,14,74,78
62,02/07/1998,32,[08],31,14,74,78
63,03/07/1998,32,31,14,78,03,45
64,10/07/1998,32,31,14,78,03,45
65,11/07/1998,32,31,14,78,03,45
66,15/07/1998,[32],31,14,78,03,45
67,18/07/1998,31,14,03,78,45,90
68,22/07/1998,31,14,03,[78],45,90
69,25/07/1998,31,14,03,45,55,61
70,29/07/1998,31,14,03,45,55,90
71,04/08/1998,31,14,03,45,90,55
72,07/08/1998,31,14,03,45,90,77
73,08/08/1998,[31],14,03,45,90,55
74,17/08/1998,14,03,45,90,77,[55]
75,19/08/1998,14,03,45,90,77,61
76,22/08/1998,14,03,45,[90],77,61
77,26/08/1998,14,03,45,77,61,52
78,29/08/1998,14,03,45,77,61,52
79,05/09/1998,14,03,45,[77],61,52
80,09/09/1998,14,03,45,61,52,21
81,12/09/1998,14,03,45,[61],52,21
82,16/09/1998,14,03,45,52,21,69
83,19/09/1998,14,[03],[45],52,21,46
84,23/09/1998,14,52,21,69,46,[41]
85,26/09/1998,14,52,21,69,46,58
86,30/09/1998,14,52,21,69,46,58
87,01/10/1998,14,52,21,69,46,58
88,06/10/1998,[14],21,52,46,69,58
89,10/10/1998,[52],21,[46],69,58,84
90,14/10/1998,21,69,58,84,30,18
91,17/10/1998,21,69,58,84,30,18
92,21/10/1998,21,69,58,84,30,18
93,24/10/1998,21,69,58,[84],30,18
94,28/10/1998,21,69,58,30,18,35
95,31/10/1998,[21],69,58,[30],18,35
96,02/11/1998,69,58,35,51,79,[65]
97,03/11/1998,69,58,35,51,79,[23]
