NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,36,39,41,72,76
3,12/10/1997,[02],04,25,29,30,52
4,13/12/1997,02,01,14,23,78,88
5,17/12/1997,02,01,14,23,78,88
6,20/12/1997,02,01,14,23,[78],88
7,24/12/1997,02,78,01,14,23,88
8,27/12/1997,02,78,01,14,23,88
9,31/12/1997,02,78,01,14,23,88
10,04/01/1998,02,78,01,14,23,88
11,07/01/1998,02,78,01,14,23,88
12,08/01/1998,02,25,04,29,30,52
13,14/01/1998,72,05,14,[37],38,50
14,17/01/1998,[37],72,05,14,38,50
15,21/01/1998,37,[49],55,29,51,74
16,24/01/1998,37,49,25,29,52,55
17,28/01/1998,37,[49],25,29,52,55
18,31/01/1998,37,49,51,55,29,74
19,05/02/1998,37,49,51,55,29,74
20,09/02/1998,37,49,51,55,29,74
21,12/02/1998,37,49,51,55,29,74
22,14/02/1998,[37],49,[51],55,29,74
23,18/02/1998,37,49,51,55,[29],74
24,21/02/1998,37,49,51,29,55,74
25,25/02/1998,37,49,51,29,55,74
26,28/02/1998,37,49,51,29,55,74
27,01/03/1998,37,49,51,79,[02],03
28,06/03/1998,37,49,51,29,02,79
29,10/03/1998,37,49,51,29,[02],79
30,14/03/1998,02,29,36,72,82,90
31,18/03/1998,02,29,36,72,82,90
32,21/03/1998,02,29,36,72,82,90
33,25/03/1998,02,29,36,72,82,90
34,28/03/1998,02,29,36,72,82,90
35,02/04/1998,02,29,36,72,[82],90
36,03/04/1998,02,29,[36],72,82,90
37,04/04/1998,02,29,36,72,82,90
38,07/04/1998,01,02,[49],[29],51,37
39,11/04/1998,49,29,52,53,37,51
40,15/04/1998,49,29,52,53,37,51
41,18/04/1998,49,29,52,53,37,82
42,22/04/1998,49,29,52,53,37,82
43,27/04/1998,05,17,38,61,01,71
44,29/04/1998,05,17,38,61,01,71
45,08/05/1998,05,17,38,61,01,71
46,09/05/1998,05,17,38,61,01,71
47,12/05/1998,87,75,13,63,[79],85
48,13/05/1998,79,48,47,27,59,35
49,16/05/1998,79,48,47,27,59,35
50,20/05/1998,79,48,47,27,59,35
51,23/05/1998,05,22,50,25,13,87
52,27/05/1998,05,22,50,25,13,87
53,30/05/1998,05,22,50,25,13,87
54,05/06/1998,[05],22,50,25,13,87
55,06/06/1998,05,[22],50,25,[13],87
56,13/06/1998,05,22,[13],87,50,72
57,17/06/1998,05,22,13,34,86,26
58,20/06/1998,05,22,13,34,86,26
59,24/06/1998,05,22,13,34,86,26
60,27/06/1998,05,22,13,34,86,26
61,01/07/1998,05,22,13,34,86,26
62,02/07/1998,05,22,13,[34],86,26
63,03/07/1998,05,22,13,34,86,26
64,10/07/1998,05,22,[13],34,86,26
65,11/07/1998,05,22,13,34,86,26
66,15/07/1998,05,22,13,34,86,26
67,18/07/1998,05,22,13,34,86,26
68,22/07/1998,05,22,13,34,86,26
69,25/07/1998,81,85,56,71,75,87
70,29/07/1998,81,85,56,71,75,87
71,04/08/1998,81,85,56,71,75,87
72,07/08/1998,81,85,56,71,75,87
73,08/08/1998,05,22,13,34,86,26
74,17/08/1998,05,22,13,34,86,26
75,19/08/1998,05,22,13,34,86,26
76,22/08/1998,05,22,13,34,86,26
77,26/08/1998,48,90,36,83,63,[76]
78,29/08/1998,48,90,36,83,63,76
79,05/09/1998,48,90,36,83,63,76
80,09/09/1998,05,22,72,13,88,34
81,12/09/1998,05,22,25,13,34,86
82,16/09/1998,05,[22],25,13,43,50
83,19/09/1998,05,22,25,13,43,50
84,23/09/1998,05,22,25,13,43,50
85,26/09/1998,05,22,25,13,43,50
86,30/09/1998,05,22,25,13,43,50
87,01/10/1998,05,22,25,13,34,26
88,06/10/1998,[05],22,25,37,40,33
89,10/10/1998,05,22,25,68,19,71
90,14/10/1998,05,22,25,68,19,43
91,17/10/1998,05,22,25,68,19,43
92,21/10/1998,05,22,13,34,86,26
93,24/10/1998,05,22,72,50,13,43
94,28/10/1998,05,22,72,50,13,43
95,31/10/1998,05,22,72,50,13,43
96,02/11/1998,05,73,04,47,84,19
97,03/11/1998,05,73,04,47,84,19
98,04/11/1998,05,73,04,47,84,19
99,07/11/1998,05,73,04,47,84,19
100,11/11/1998,05,73,04,47,84,[19]
101,14/11/1998,81,80,84,64,60,73
102,18/11/1998,81,80,84,64,60,73
103,21/11/1998,81,80,84,64,60,73
104,25/11/1998,81,80,84,64,60,73
105,28/11/1998,81,80,84,64,60,73
106,08/12/1998,81,80,84,64,60,73
107,09/12/1998,81,80,[84],64,60,73
108,12/12/1998,81,80,84,87,48,[37]
109,16/12/1998,37,40,86,33,88,42
110,19/12/1998,37,40,86,33,88,42
111,23/12/1998,37,40,86,33,88,42
112,28/12/1998,37,40,86,33,88,42
113,30/12/1998,43,56,71,[36],72,76
114,09/01/1999,43,56,71,36,72,76
115,12/01/1999,43,56,71,36,72,76
116,13/01/1999,43,56,71,36,72,76
117,16/01/1999,43,56,71,36,72,76
118,20/01/1999,37,40,86,33,88,42
119,23/01/1999,43,56,71,[36],48,01
120,27/01/1999,43,56,71,36,[48],01
121,30/01/1999,43,56,71,36,48,01
122,01/02/1999,43,56,71,36,48,01
123,06/02/1999,43,56,71,36,48,01
124,10/02/1999,43,56,71,36,[48],01
125,13/02/1999,43,56,71,36,48,01
126,17/02/1999,43,56,71,36,48,01
