METRICA,VALORE,NOTE
Concorsi analizzati,4189,Conteggio archivio fino al concorso 4189
Media hit/sestina,0.40,Media numeri corretti per concorso
Hit rate >= 2,4.8%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2742,Numero concorsi con esattamente 0 hit
Con 1 hit,1244,Numero concorsi con esattamente 1 hit
Con 2 hit,185,Numero concorsi con esattamente 2 hit
Con 3 hit,17,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,8,Massima sequenza di concorsi con almeno 1 hit
Media hit ultimi 100,0.41,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4189,Data estrazione: 02/05/2026
Concorso successivo stimato,4190,Sestina proposta: 43 44 45 55 56 57
Sestina proposta (prossimo concorso),43 44 45 55 56 57,Pronostico prodotto con addestramento incrementale
Concorsi con coppie consecutive,29.4%,Almeno una coppia consecutiva nella sestina estratta
Concorsi con terni consecutivi,1.3%,Almeno un terno consecutivo nella sestina estratta
Media coppie consecutive,0.33,Media coppie consecutive per concorso
Media terni consecutivi,0.01,Media terni consecutivi per concorso
Run consecutiva massima,4,Lunghezza massima consecutiva osservata
Top coppia consecutiva,62-63 (26),Coppia consecutiva piu frequente
Top terno consecutivo,43-44-45 (3),Terno consecutivo piu frequente
