NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,36,39,41,72,76
3,12/10/1997,[02],04,25,29,30,20
4,13/12/1997,01,02,14,23,78,04
5,17/12/1997,05,22,34,61,62,01
6,20/12/1997,10,65,77,80,81,05
7,24/12/1997,03,27,48,58,78,10
8,27/12/1997,13,59,63,75,85,03
9,31/12/1997,08,26,35,43,55,13
10,04/01/1998,34,36,71,76,86,08
11,07/01/1998,17,31,42,43,55,34
12,08/01/1998,25,33,[37],47,48,17
13,14/01/1998,05,14,[37],38,50,25
14,17/01/1998,16,[37],[49],52,53,05
15,21/01/1998,29,37,[49],51,55,16
16,24/01/1998,22,25,26,49,59,29
17,28/01/1998,[03],04,39,43,56,22
18,31/01/1998,02,03,49,51,63,04
19,05/02/1998,[06],13,26,33,34,02
20,09/02/1998,06,12,23,28,77,13
21,12/02/1998,01,43,45,48,83,06
22,14/02/1998,09,23,36,[66],67,01
23,18/02/1998,37,40,46,51,58,09
24,21/02/1998,10,12,29,41,45,37
25,25/02/1998,04,19,47,60,73,10
26,28/02/1998,01,27,40,81,82,04
27,01/03/1998,13,75,87,68,79,01
28,06/03/1998,13,75,[87],02,29,36
29,10/03/1998,[13],75,87,48,50,80
30,14/03/1998,13,75,87,02,09,34
31,18/03/1998,13,75,87,16,33,42
32,21/03/1998,13,75,87,01,05,[17]
33,25/03/1998,13,75,87,[17],30,38
34,28/03/1998,13,75,87,05,06,17
35,02/04/1998,13,75,87,16,40,50
36,03/04/1998,13,75,87,18,23,24
37,04/04/1998,13,75,[87],28,36,59
38,07/04/1998,13,75,87,01,07,21
39,11/04/1998,49,52,53,13,[75],[87]
40,15/04/1998,49,52,53,13,75,87
41,18/04/1998,04,[47],73,49,52,53
42,22/04/1998,04,47,73,49,52,53
43,27/04/1998,04,47,73,49,52,53
44,29/04/1998,04,47,73,49,52,53
45,08/05/1998,04,47,73,49,52,53
46,09/05/1998,04,47,73,49,52,53
47,12/05/1998,04,[47],73,49,52,53
48,13/05/1998,47,48,79,04,73,49
49,16/05/1998,47,48,79,04,73,49
50,20/05/1998,47,48,79,04,73,49
51,23/05/1998,47,48,79,04,73,49
52,27/05/1998,47,[48],79,04,[73],49
53,30/05/1998,47,48,79,[04],73,49
54,05/06/1998,47,48,79,04,73,49
55,06/06/1998,47,48,79,04,73,49
56,13/06/1998,47,48,79,04,73,49
57,17/06/1998,13,26,34,47,48,79
58,20/06/1998,13,26,34,47,48,79
59,24/06/1998,13,26,34,47,48,[79]
60,27/06/1998,13,26,34,47,48,79
61,01/07/1998,13,26,34,47,48,79
62,02/07/1998,20,[23],24,13,26,[34]
63,03/07/1998,20,23,24,13,26,34
64,10/07/1998,20,23,24,[13],26,34
65,11/07/1998,20,23,24,13,26,34
66,15/07/1998,19,25,[68],20,23,24
67,18/07/1998,19,25,68,20,23,24
68,22/07/1998,19,25,68,20,23,24
69,25/07/1998,19,[25],68,20,23,24
70,29/07/1998,19,[25],[68],20,23,24
71,04/08/1998,19,25,68,20,23,24
72,07/08/1998,19,25,68,[20],23,[24]
73,08/08/1998,19,25,68,20,23,24
74,17/08/1998,19,25,68,20,23,24
75,19/08/1998,04,47,73,19,25,68
76,22/08/1998,04,47,73,16,50,62
77,26/08/1998,04,47,73,48,83,90
78,29/08/1998,04,47,73,48,83,90
79,05/09/1998,04,47,[73],48,83,90
80,09/09/1998,04,47,73,48,83,90
81,12/09/1998,04,47,73,25,68,71
82,16/09/1998,04,47,73,25,68,71
83,19/09/1998,04,47,73,25,68,71
84,23/09/1998,04,47,73,25,[68],71
85,26/09/1998,04,47,73,25,68,71
86,30/09/1998,04,47,73,25,68,71
87,01/10/1998,04,47,73,25,68,71
88,06/10/1998,04,47,73,25,[68],71
89,10/10/1998,04,47,73,05,14,38
90,14/10/1998,04,47,73,[42],49,52
91,17/10/1998,04,47,73,42,49,52
92,21/10/1998,04,47,73,42,49,52
93,24/10/1998,[04],47,73,14,50,72
94,28/10/1998,04,47,[73],14,50,72
95,31/10/1998,04,47,[73],60,[84],14
96,02/11/1998,04,47,73,01,21,84
97,03/11/1998,04,47,73,01,21,84
98,04/11/1998,04,47,73,01,21,84
99,07/11/1998,04,47,73,01,21,84
100,11/11/1998,04,47,73,01,21,84
101,14/11/1998,04,47,73,01,21,84
102,18/11/1998,04,[47],73,01,21,84
103,21/11/1998,04,47,73,01,21,84
104,25/11/1998,04,47,73,01,21,84
105,28/11/1998,04,47,73,01,21,84
106,08/12/1998,04,47,73,01,21,84
107,09/12/1998,04,47,73,33,86,88
108,12/12/1998,04,47,73,48,84,87
109,16/12/1998,04,47,73,37,40,86
110,19/12/1998,04,47,73,56,71,77
111,23/12/1998,04,[47],73,06,13,49
112,28/12/1998,04,47,73,06,13,49
113,30/12/1998,04,47,73,06,13,[49]
114,09/01/1999,04,47,73,06,13,49
115,12/01/1999,04,47,73,06,[13],49
116,13/01/1999,04,47,73,06,13,49
117,16/01/1999,04,47,73,06,13,49
118,20/01/1999,04,47,73,07,12,37
119,23/01/1999,04,[47],73,01,43,[45]
120,27/01/1999,04,47,73,01,43,45
121,30/01/1999,04,47,73,01,43,45
122,01/02/1999,04,47,73,01,43,45
123,06/02/1999,04,47,73,12,[72],88
124,10/02/1999,04,47,73,12,72,88
125,13/02/1999,04,47,73,[12],72,88
126,17/02/1999,04,47,73,20,23,87
127,20/02/1999,[04],47,73,45,49,[63]
128,24/02/1999,04,47,73,26,74,45
129,27/02/1999,04,47,73,19,32,87
130,02/03/1999,04,47,73,42,55,88
131,03/03/1999,04,47,73,42,55,88
132,04/03/1999,04,[47],73,40,51,66
133,05/03/1999,04,47,73,33,48,40
134,07/03/1999,04,47,73,33,48,40
135,11/03/1999,04,47,73,33,48,40
136,13/03/1999,04,47,73,33,48,40
137,17/03/1999,04,47,73,33,48,40
138,20/03/1999,04,47,73,33,48,40
139,24/03/1999,[04],47,73,33,48,40
140,27/03/1999,04,47,73,33,48,40
141,31/03/1999,04,47,73,33,48,40
142,08/04/1999,04,47,73,25,71,85
143,09/04/1999,04,47,73,25,71,85
144,12/04/1999,04,47,73,25,71,85
145,14/04/1999,04,47,73,62,[63],76
146,17/04/1999,[04],47,[73],63,[83],90
147,21/04/1999,04,47,73,63,83,90
148,24/04/1999,04,47,73,[20],61,[74]
149,28/04/1999,04,47,[73],20,44,74
150,05/05/1999,04,47,73,53,55,20
151,06/05/1999,04,47,73,53,55,20
152,15/05/1999,04,47,[73],09,36,77
153,19/05/1999,04,47,73,09,36,77
154,22/05/1999,04,47,[73],10,35,64
155,26/05/1999,[04],47,73,10,35,64
156,29/05/1999,04,47,73,[10],35,64
157,02/06/1999,04,47,73,[10],35,64
158,03/06/1999,04,47,[73],10,35,64
159,10/06/1999,04,47,73,10,35,[64]
160,11/06/1999,04,47,73,10,35,64
161,16/06/1999,04,47,73,10,35,64
162,19/06/1999,04,47,73,10,35,64
163,23/06/1999,04,47,73,23,58,67
164,26/06/1999,04,47,73,36,71,86
165,30/06/1999,04,47,73,36,71,86
166,01/07/1999,04,47,73,22,[44],74
167,04/07/1999,04,47,73,22,44,74
168,07/07/1999,04,47,73,22,44,74
169,08/07/1999,[04],47,73,38,82,87
170,14/07/1999,[04],47,73,29,[88],38
171,17/07/1999,04,47,73,60,84,29
172,21/07/1999,04,47,73,60,84,29
173,24/07/1999,04,47,73,19,26,[67]
174,28/07/1999,04,47,73,[13],23,67
175,31/07/1999,04,47,[73],13,23,67
176,05/08/1999,04,47,73,05,34,77
177,09/08/1999,04,47,73,05,34,77
178,14/08/1999,04,47,[73],05,34,77
179,18/08/1999,04,47,73,45,80,81
180,21/08/1999,04,47,73,13,16,[67]
181,25/08/1999,04,47,73,13,16,67
182,28/08/1999,04,47,73,13,[16],67
183,01/09/1999,04,47,73,07,12,24
184,06/09/1999,04,47,73,06,23,[77]
185,10/09/1999,04,47,73,06,23,77
186,12/09/1999,04,47,73,06,23,77
187,15/09/1999,04,47,[73],06,23,77
188,18/09/1999,04,47,73,20,29,06
189,22/09/1999,04,47,73,12,15,88
190,25/09/1999,04,[47],73,12,15,88
191,29/09/1999,[04],47,73,[27],79,12
192,02/10/1999,[04],47,73,27,79,[12]
193,03/10/1999,04,47,73,27,79,12
194,04/10/1999,[04],47,73,20,72,76
195,07/10/1999,[04],47,73,25,32,20
196,11/10/1999,04,47,[73],25,32,20
197,13/10/1999,04,47,73,21,61,45
198,16/10/1999,04,[47],73,21,61,[45]
199,20/10/1999,04,47,73,03,45,70
200,23/10/1999,04,47,[73],26,58,67
201,27/10/1999,04,47,73,26,58,67
202,30/10/1999,04,47,73,06,34,72
203,08/11/1999,04,47,73,06,34,72
204,09/11/1999,04,47,73,29,42,67
205,12/11/1999,04,47,73,25,76,82
206,13/11/1999,04,47,73,25,76,[82]
207,17/11/1999,04,47,[73],25,76,82
208,20/11/1999,04,47,73,80,[81],25
209,24/11/1999,04,47,73,80,81,25
210,27/11/1999,04,47,73,12,16,24
211,05/12/1999,04,47,73,12,16,24
212,06/12/1999,04,47,73,07,37,86
213,15/12/1999,04,47,73,07,37,86
214,18/12/1999,04,47,73,07,37,86
215,22/12/1999,04,[47],73,07,37,86
216,27/12/1999,04,47,73,07,37,86
217,29/12/1999,04,47,73,07,37,86
218,03/01/2000,04,47,73,14,20,[88]
219,04/01/2000,04,47,73,32,37,[88]
220,07/01/2000,04,47,73,58,60,88
221,15/01/2000,04,47,73,39,62,76
222,19/01/2000,04,47,73,[39],62,76
223,22/01/2000,04,47,73,39,62,76
224,26/01/2000,04,47,[73],21,70,90
225,29/01/2000,04,47,[73],02,57,62
226,02/02/2000,04,[47],73,55,80,02
227,08/02/2000,[04],47,73,55,80,02
228,09/02/2000,04,47,73,39,56,55
229,11/02/2000,04,47,73,39,56,[55]
230,12/02/2000,04,47,73,78,81,85
231,16/02/2000,04,47,73,06,18,20
232,19/02/2000,04,47,73,06,18,20
233,23/02/2000,04,47,73,25,28,51
234,26/02/2000,[04],47,73,25,28,51
235,01/03/2000,04,47,73,25,28,[51]
236,05/03/2000,04,47,73,17,38,51
237,06/03/2000,04,47,73,01,13,53
238,15/03/2000,04,47,73,[17],31,43
239,18/03/2000,04,47,73,17,31,43
240,22/03/2000,04,47,73,76,81,85
241,25/03/2000,04,[47],73,76,81,85
