NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,36,72,20,41,39,76
3,12/10/1997,21,[01],36,72,20,39
4,13/12/1997,03,21,72,20,36,39
5,17/12/1997,03,21,72,36,20,39
6,20/12/1997,[03],72,21,36,20,39
7,24/12/1997,06,72,21,82,20,36
8,27/12/1997,72,06,21,82,20,36
9,31/12/1997,06,72,21,82,20,[36]
10,04/01/1998,[72],06,82,21,20,39
11,07/01/1998,73,06,82,21,20,39
12,08/01/1998,73,39,06,21,20,41
13,14/01/1998,73,39,06,21,20,41
14,17/01/1998,73,39,06,41,20,07
15,21/01/1998,73,39,41,06,20,07
16,24/01/1998,73,[39],21,41,20,06
17,28/01/1998,32,73,21,41,20,06
18,31/01/1998,73,32,[06],41,20,07
19,05/02/1998,32,73,07,21,20,41
20,09/02/1998,73,32,07,21,20,41
21,12/02/1998,73,07,32,41,20,[09]
22,14/02/1998,73,07,32,21,20,41
23,18/02/1998,32,73,07,[41],20,11
24,21/02/1998,44,32,[73],07,20,11
25,25/02/1998,44,80,07,32,20,11
26,28/02/1998,44,07,32,80,20,11
27,01/03/1998,80,44,07,32,20,11
28,06/03/1998,[80],07,32,44,20,11
29,10/03/1998,76,86,44,07,20,11
30,14/03/1998,44,76,[86],07,20,11
31,18/03/1998,83,44,76,07,20,11
32,21/03/1998,83,07,44,76,20,11
33,25/03/1998,76,83,07,32,20,11
34,28/03/1998,76,07,83,32,20,11
35,02/04/1998,76,07,83,32,20,11
36,03/04/1998,76,83,07,32,20,11
37,04/04/1998,83,76,32,[07],20,11
38,07/04/1998,83,08,76,32,20,11
39,11/04/1998,83,44,08,76,20,11
40,15/04/1998,83,76,08,44,20,11
41,18/04/1998,83,08,44,[76],20,11
42,22/04/1998,83,44,74,08,57,64
43,27/04/1998,83,44,08,74,20,11
44,29/04/1998,83,74,44,08,57,64
45,08/05/1998,83,44,74,08,57,64
46,09/05/1998,83,74,44,08,[20],11
47,12/05/1998,83,74,44,08,11,32
48,13/05/1998,[83],44,74,08,[57],64
49,16/05/1998,90,44,74,08,11,32
50,20/05/1998,90,44,74,08,11,32
51,23/05/1998,90,44,74,08,11,32
52,27/05/1998,90,44,08,77,11,32
53,30/05/1998,90,44,74,03,[11],32
54,05/06/1998,90,44,74,03,31,14
55,06/06/1998,90,44,08,77,31,14
56,13/06/1998,90,44,74,03,31,14
57,17/06/1998,90,21,44,74,32,70
58,20/06/1998,90,21,08,44,77,09
59,24/06/1998,90,21,08,32,77,09
60,27/06/1998,90,21,[44],74,31,14
61,01/07/1998,90,21,32,45,74,03
62,02/07/1998,90,21,32,45,74,03
63,03/07/1998,90,21,03,32,74,78
64,10/07/1998,90,21,03,32,74,78
65,11/07/1998,90,21,03,32,74,78
66,15/07/1998,90,21,03,[32],74,78
67,18/07/1998,90,21,31,03,74,78
68,22/07/1998,90,21,31,03,74,[78]
69,25/07/1998,90,74,21,31,14,03
70,29/07/1998,90,74,21,31,14,03
71,04/08/1998,90,21,74,31,14,03
72,07/08/1998,90,21,31,74,14,03
73,08/08/1998,90,21,74,03,[31],14
74,17/08/1998,90,21,35,74,14,03
75,19/08/1998,90,21,74,35,14,03
76,22/08/1998,[90],21,74,03,14,45
77,26/08/1998,87,21,74,03,14,45
78,29/08/1998,87,74,03,21,14,45
79,05/09/1998,87,74,21,03,14,45
80,09/09/1998,87,74,03,21,14,45
81,12/09/1998,87,74,03,21,14,45
82,16/09/1998,87,74,03,21,14,45
83,19/09/1998,87,74,21,[03],14,[45]
84,23/09/1998,74,87,21,02,14,52
85,26/09/1998,[74],87,02,21,14,52
86,30/09/1998,79,[87],02,21,14,52
87,01/10/1998,79,84,02,21,14,52
88,06/10/1998,79,84,35,21,[14],52
89,10/10/1998,79,84,35,02,[52],21
90,14/10/1998,79,84,35,02,21,69
91,17/10/1998,79,84,35,21,69,58
92,21/10/1998,79,84,35,48,21,69
93,24/10/1998,79,[84],35,48,21,69
94,28/10/1998,79,85,35,21,69,58
95,31/10/1998,79,85,35,[21],69,58
96,02/11/1998,79,85,23,35,69,58
97,03/11/1998,79,85,[23],35,69,58
98,04/11/1998,[79],85,29,08,69,[58]
99,07/11/1998,71,85,29,08,69,18
100,11/11/1998,71,85,29,08,69,18
101,14/11/1998,71,[85],29,35,[69],18
102,18/11/1998,71,[83],29,35,[18],51
103,21/11/1998,71,82,29,35,51,08
104,25/11/1998,71,82,35,29,51,08
105,28/11/1998,71,82,35,29,51,08
106,08/12/1998,71,82,35,48,51,08
107,09/12/1998,82,71,35,[48],51,08
108,12/12/1998,82,71,35,49,51,08
109,16/12/1998,82,[71],35,49,51,08
110,19/12/1998,82,75,35,[49],51,08
111,23/12/1998,82,75,35,41,51,08
112,28/12/1998,[82],75,35,41,51,08
113,30/12/1998,81,75,35,41,51,08
114,09/01/1999,81,75,35,41,51,08
115,12/01/1999,81,75,35,41,51,08
116,13/01/1999,81,75,35,41,[51],08
117,16/01/1999,81,75,41,35,08,62
118,20/01/1999,81,75,35,41,08,62
119,23/01/1999,81,[75],41,35,08,62
120,27/01/1999,81,41,[72],35,[08],62
121,30/01/1999,81,41,73,35,62,54
122,01/02/1999,81,41,73,35,62,[54]
123,06/02/1999,81,73,41,35,62,29
124,10/02/1999,81,73,41,35,62,29
125,13/02/1999,81,41,73,35,62,29
126,17/02/1999,81,41,73,35,62,29
127,20/02/1999,81,41,73,35,62,29
128,24/02/1999,81,[41],73,35,62,29
129,27/02/1999,81,50,73,35,62,29
130,02/03/1999,[81],50,73,35,62,29
131,03/03/1999,85,50,73,35,[62],29
132,04/03/1999,85,50,73,35,29,53
133,05/03/1999,85,[50],73,35,29,53
134,07/03/1999,85,43,73,35,29,[53]
135,11/03/1999,85,43,73,35,29,11
136,13/03/1999,85,43,73,35,29,11
137,17/03/1999,85,43,73,35,29,11
138,20/03/1999,85,[43],73,05,35,29
139,24/03/1999,85,44,73,05,35,29
140,27/03/1999,85,44,73,05,35,29
141,31/03/1999,[85],44,73,05,35,29
142,08/04/1999,82,44,73,05,35,29
143,09/04/1999,82,44,73,05,35,29
144,12/04/1999,82,44,73,05,35,29
145,14/04/1999,82,73,44,67,35,29
146,17/04/1999,82,[73],44,67,35,29
147,21/04/1999,82,79,44,67,35,29
148,24/04/1999,82,79,[44],67,35,29
149,28/04/1999,82,79,48,67,35,29
150,05/05/1999,82,79,48,67,35,29
151,06/05/1999,82,79,48,67,35,29
152,15/05/1999,82,79,48,67,35,29
153,19/05/1999,82,79,48,05,[35],29
154,22/05/1999,82,79,48,05,29,11
155,26/05/1999,82,79,48,05,29,11
156,29/05/1999,82,[79],48,05,29,11
157,02/06/1999,82,80,48,05,29,11
158,03/06/1999,82,80,48,05,29,11
159,10/06/1999,[82],80,48,05,29,11
160,11/06/1999,84,[80],48,05,29,11
161,16/06/1999,84,78,48,[05],[29],11
162,19/06/1999,84,78,48,01,11,57
163,23/06/1999,84,78,48,01,11,57
164,26/06/1999,84,78,48,01,11,57
165,30/06/1999,84,78,48,01,11,57
166,01/07/1999,84,78,48,01,11,57
167,04/07/1999,[84],78,48,01,11,57
168,07/07/1999,89,78,48,02,11,57
169,08/07/1999,89,78,48,39,11,57
170,14/07/1999,89,78,[48],66,11,57
171,17/07/1999,89,78,47,66,11,57
172,21/07/1999,[89],78,47,02,[11],57
173,24/07/1999,85,[78],47,66,57,15
174,28/07/1999,85,72,47,66,57,15
175,31/07/1999,85,72,47,66,57,15
176,05/08/1999,85,72,47,66,57,[15]
177,09/08/1999,85,72,47,66,57,21
178,14/08/1999,[85],72,47,66,57,21
179,18/08/1999,86,72,47,66,57,21
180,21/08/1999,86,72,47,66,57,21
181,25/08/1999,86,72,47,66,57,21
182,28/08/1999,86,72,47,66,57,21
183,01/09/1999,86,72,47,66,57,21
184,06/09/1999,86,[72],47,66,57,21
185,10/09/1999,86,76,47,66,57,21
186,12/09/1999,86,76,47,66,57,21
187,15/09/1999,86,76,47,33,57,21
188,18/09/1999,86,76,47,[33],57,21
189,22/09/1999,86,76,47,36,57,21
190,25/09/1999,86,76,[47],36,57,21
191,29/09/1999,86,76,42,31,57,21
192,02/10/1999,86,76,42,31,57,21
193,03/10/1999,[76],86,42,31,57,21
194,04/10/1999,71,86,42,36,57,21
195,07/10/1999,71,86,[42],18,57,21
196,11/10/1999,71,86,49,18,57,[21]
197,13/10/1999,[71],86,49,18,57,02
198,16/10/1999,74,86,49,36,57,02
199,20/10/1999,74,86,49,36,57,02
200,23/10/1999,74,86,49,36,[57],02
201,27/10/1999,74,86,49,36,43,62
202,30/10/1999,74,86,49,36,43,62
203,08/11/1999,74,86,49,36,43,62
204,09/11/1999,74,86,49,36,43,62
205,12/11/1999,74,86,49,36,43,62
206,13/11/1999,74,86,49,36,43,62
207,17/11/1999,74,86,49,36,43,62
208,20/11/1999,74,86,49,36,43,[62]
209,24/11/1999,74,86,49,36,43,09
210,27/11/1999,74,86,49,36,43,09
211,05/12/1999,74,[86],49,18,43,36
212,06/12/1999,[74],87,49,02,18,66
213,15/12/1999,72,87,49,36,02,[18]
214,18/12/1999,72,87,49,36,02,66
215,22/12/1999,72,87,49,36,02,66
216,27/12/1999,72,87,49,36,02,66
217,29/12/1999,72,87,49,36,02,66
218,03/01/2000,72,87,49,17,02,66
219,04/01/2000,72,87,49,17,02,66
220,07/01/2000,72,87,49,17,02,66
221,15/01/2000,72,87,49,17,02,66
222,19/01/2000,72,87,49,17,02,66
223,22/01/2000,72,87,49,17,02,66
224,26/01/2000,72,[87],17,49,[02],66
225,29/01/2000,72,89,17,49,66,36
226,02/02/2000,72,89,17,49,66,36
227,08/02/2000,72,89,17,49,66,36
228,09/02/2000,72,[89],17,66,[49],36
229,11/02/2000,72,[81],45,66,36,05
230,12/02/2000,72,83,45,66,36,05
231,16/02/2000,72,83,16,45,66,36
232,19/02/2000,72,83,16,45,66,36
233,23/02/2000,72,83,16,45,66,36
234,26/02/2000,72,83,16,66,05,52
235,01/03/2000,72,83,16,66,05,52
236,05/03/2000,72,83,16,66,05,52
237,06/03/2000,72,83,16,[66],05,52
238,15/03/2000,72,83,16,67,36,05
239,18/03/2000,72,83,16,67,36,05
240,22/03/2000,72,83,16,67,36,05
241,25/03/2000,72,83,16,67,36,05
242,29/03/2000,72,83,67,16,36,05
243,03/04/2000,72,83,67,16,36,05
244,10/04/2000,83,72,[16],[67],36,05
245,11/04/2000,83,72,14,68,05,52
246,15/04/2000,83,72,14,68,05,52
247,19/04/2000,83,72,14,68,[05],52
248,22/04/2000,83,72,14,68,23,45
249,26/04/2000,83,72,14,68,23,45
250,29/04/2000,83,72,[68],14,23,[45]
251,01/05/2000,83,72,63,14,36,52
252,02/05/2000,83,72,63,14,36,[52]
253,04/05/2000,83,72,63,14,36,34
254,07/05/2000,83,72,[63],14,36,[34]
255,08/05/2000,[83],72,65,14,[36],[23]
256,13/05/2000,84,72,65,14,[79],73
257,17/05/2000,84,72,65,37,46,73
258,20/05/2000,84,72,20,37,73,[41]
259,24/05/2000,84,[72],20,37,73,75
260,27/05/2000,84,73,20,37,46,75
261,31/05/2000,84,73,20,37,46,75
262,05/06/2000,84,73,65,20,46,75
263,09/06/2000,84,73,65,37,46,75
264,12/06/2000,84,73,65,20,46,[75]
265,14/06/2000,84,73,65,20,46,60
266,17/06/2000,84,73,65,20,46,60
267,21/06/2000,84,73,65,20,46,60
268,24/06/2000,84,73,65,20,46,60
269,28/06/2000,84,73,65,20,46,60
270,06/07/2000,84,73,65,20,46,60
271,10/07/2000,84,73,[65],20,46,60
272,15/07/2000,84,73,61,20,46,60
273,19/07/2000,84,73,20,61,46,[60]
274,22/07/2000,84,73,61,20,46,[81]
275,26/07/2000,84,73,61,20,46,76
276,29/07/2000,84,73,61,20,46,[76]
277,01/08/2000,84,73,61,20,46,88
278,03/08/2000,73,84,[20],61,46,88
279,04/08/2000,73,84,19,33,46,88
280,07/08/2000,84,73,19,33,46,88
281,11/08/2000,73,84,19,07,46,88
282,16/08/2000,73,84,19,07,46,88
283,19/08/2000,84,73,19,07,46,88
284,23/08/2000,84,73,19,33,46,88
285,26/08/2000,84,73,[19],33,46,88
286,30/08/2000,84,73,17,07,46,88
287,02/09/2000,84,73,17,07,46,88
288,08/09/2000,84,73,17,07,46,88
289,09/09/2000,73,84,17,07,46,88
290,12/09/2000,73,84,17,07,46,[88]
291,13/09/2000,73,84,17,07,46,44
292,16/09/2000,73,84,[17],07,46,44
293,20/09/2000,84,73,13,07,46,44
294,23/09/2000,84,[73],13,07,46,44
295,27/09/2000,[84],[71],13,07,46,44
296,30/09/2000,81,80,13,07,46,44
297,05/10/2000,81,80,13,07,46,44
298,06/10/2000,81,80,13,07,46,44
299,14/10/2000,[81],80,13,07,46,44
300,18/10/2000,88,80,13,07,46,44
301,21/10/2000,88,80,13,07,46,44
302,25/10/2000,88,80,13,07,46,44
303,28/10/2000,88,[80],13,07,46,44
304,03/11/2000,88,[74],13,07,[46],44
305,10/11/2000,88,72,13,07,44,67
306,11/11/2000,88,72,13,07,44,67
307,15/11/2000,88,72,13,07,44,67
308,18/11/2000,88,72,13,07,44,67
309,22/11/2000,88,[72],13,07,44,67
310,25/11/2000,88,78,13,07,44,67
311,29/11/2000,88,78,[13],07,44,67
312,01/12/2000,88,78,20,07,67,34
313,02/12/2000,88,78,20,07,[67],34
314,04/12/2000,88,78,20,07,57,83
315,07/12/2000,88,78,20,07,57,83
316,08/12/2000,88,78,20,07,57,83
317,13/12/2000,88,78,20,07,57,83
318,16/12/2000,88,78,20,07,57,83
319,20/12/2000,88,78,20,07,57,83
320,23/12/2000,88,78,20,07,57,83
321,27/12/2000,88,78,[20],07,57,83
322,30/12/2000,88,78,12,07,57,83
323,08/01/2001,88,78,12,07,57,83
324,09/01/2001,88,78,12,07,57,83
325,12/01/2001,88,78,12,07,57,83
326,13/01/2001,88,78,12,07,[57],[83]
327,17/01/2001,88,78,12,07,37,[22]
328,20/01/2001,88,78,12,49,07,37
329,24/01/2001,88,78,12,49,07,37
330,27/01/2001,88,78,12,[49],07,37
331,31/01/2001,88,78,12,43,07,37
332,05/02/2001,88,78,12,43,07,37
333,14/02/2001,88,78,12,43,07,37
334,17/02/2001,88,78,12,43,07,[37]
335,21/02/2001,88,78,12,43,07,31
336,24/02/2001,88,[78],12,43,07,31
337,28/02/2001,88,73,12,48,07,31
338,01/03/2001,88,73,12,48,07,31
339,02/03/2001,88,73,12,48,07,31
340,03/03/2001,88,73,12,48,07,31
341,10/03/2001,88,73,12,48,07,31
342,11/03/2001,88,73,12,48,[07],31
343,14/03/2001,88,73,12,48,31,87
344,17/03/2001,88,[73],12,48,31,87
345,21/03/2001,88,72,12,[43],31,87
346,24/03/2001,88,72,12,49,31,87
347,28/03/2001,[88],72,12,49,31,87
348,31/03/2001,87,72,[12],48,31,60
349,04/04/2001,87,72,16,[48],31,60
350,06/04/2001,87,72,16,49,34,31
351,07/04/2001,87,72,16,49,34,31
352,08/04/2001,87,72,16,[49],34,31
353,14/04/2001,87,72,16,44,31,60
354,18/04/2001,87,72,16,44,31,60
355,21/04/2001,87,72,16,44,[31],60
356,26/04/2001,87,72,16,44,69,67
357,28/04/2001,87,72,16,[44],69,67
358,05/05/2001,87,72,16,48,69,[67]
359,09/05/2001,87,72,16,48,[69],03
360,12/05/2001,87,72,[48],16,03,76
361,16/05/2001,87,72,[49],16,34,60
362,19/05/2001,87,72,16,50,03,76
363,23/05/2001,87,72,16,50,03,76
364,26/05/2001,87,72,16,50,03,76
365,30/05/2001,87,72,50,16,03,76
366,06/06/2001,87,72,50,16,03,76
367,10/06/2001,87,72,[50],16,[03],76
