NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,01,[02],03,[04],05,06
3,12/10/1997,[01],03,05,06,07,08
4,13/12/1997,03,04,[05],06,07,08
5,17/12/1997,02,03,06,07,08,09
6,20/12/1997,01,[03],04,06,07,08
7,24/12/1997,01,04,05,06,20,22
8,27/12/1997,01,04,05,06,20,22
9,31/12/1997,01,04,05,10,20,22
10,04/01/1998,01,04,05,10,20,22
11,07/01/1998,01,04,05,10,20,22
12,08/01/1998,01,04,[05],20,22,25
13,14/01/1998,01,04,10,20,22,25
14,17/01/1998,01,04,10,20,22,25
15,21/01/1998,01,04,10,20,[22],[25]
16,24/01/1998,01,[04],05,10,20,25
17,28/01/1998,01,05,10,20,25,29
18,31/01/1998,01,05,20,25,29,30
19,05/02/1998,01,05,20,25,29,30
20,09/02/1998,[01],05,20,25,29,30
21,12/02/1998,02,05,20,34,[36],37
22,14/02/1998,02,05,20,22,34,36
23,18/02/1998,02,05,20,34,36,37
24,21/02/1998,02,05,20,22,26,34
25,25/02/1998,02,05,20,22,26,34
26,28/02/1998,02,05,20,22,26,34
27,01/03/1998,[02],05,20,22,26,34
28,06/03/1998,02,05,22,26,34,37
29,10/03/1998,[02],05,22,26,[34],37
30,14/03/1998,02,05,22,26,37,39
31,18/03/1998,02,[05],22,26,37,39
32,21/03/1998,02,22,26,37,39,43
33,25/03/1998,02,22,26,37,39,43
34,28/03/1998,02,22,26,37,39,43
35,02/04/1998,01,03,04,25,26,29
36,03/04/1998,01,03,04,25,26,29
37,04/04/1998,[01],03,04,25,26,29
38,07/04/1998,01,03,04,25,26,[29]
39,11/04/1998,01,03,04,25,26,29
40,15/04/1998,01,03,[04],25,26,29
41,18/04/1998,01,03,25,26,29,34
42,22/04/1998,01,03,04,25,26,29
43,27/04/1998,01,03,04,13,25,26
44,29/04/1998,01,03,04,13,25,26
45,08/05/1998,01,03,04,13,25,26
46,09/05/1998,01,03,04,13,25,26
47,12/05/1998,01,03,04,13,25,26
48,13/05/1998,01,03,04,13,25,26
49,16/05/1998,01,03,04,13,[25],26
50,20/05/1998,01,03,04,[25],26,29
