METRICA,VALORE,NOTE
Concorsi analizzati,4190,Conteggio archivio fino al concorso 4190
Media hit/sestina,0.38,Media numeri corretti per concorso
Hit rate >= 2,4.7%,Percentuale concorsi con almeno 2 hit
Con 0 hit,2802,Numero concorsi con esattamente 0 hit
Con 1 hit,1191,Numero concorsi con esattamente 1 hit
Con 2 hit,185,Numero concorsi con esattamente 2 hit
Con 3 hit,11,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,7,Massima sequenza di concorsi con almeno 1 hit
Media hit ultimi 100,0.44,Ultimi 100 concorsi o meno
Ultimo concorso calcolato,4190,Data estrazione: 04/05/2026
Concorso successivo stimato,4191,Sestina proposta: 06 07 08 18 40 52
Sestina proposta (prossimo concorso),06 07 08 18 40 52,Pronostico prodotto con addestramento incrementale
Top6 finestra 50,63 03 18 45 06 39,Numeri piu frequenti nelle ultime 50
Top6 finestra 100,18 07 52 02 08 16,Numeri piu frequenti nelle ultime 100
Top6 finestra 200,08 11 18 02 52 58,Numeri piu frequenti nelle ultime 200
Overlap Top6 (50/100/200),1,Numeri presenti in tutte e tre le top6
Volatilita finestre,12,Dispersione tra top list delle finestre
