NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,36,39,41,72,76
3,12/10/1997,[02],04,25,29,30,52
4,13/12/1997,01,02,14,23,78,88
5,17/12/1997,05,22,34,61,62,[77]
6,20/12/1997,10,65,77,80,81,86
7,24/12/1997,05,22,34,61,62,77
8,27/12/1997,13,59,63,75,85,87
9,31/12/1997,08,26,35,43,55,67
10,04/01/1998,02,04,25,29,30,52
11,07/01/1998,34,36,71,76,86,89
12,08/01/1998,01,02,13,[14],23,59
13,14/01/1998,25,[37],05,77,02,04
14,17/01/1998,[37],14,05,16,38,[49]
15,21/01/1998,37,[49],29,51,55,74
16,24/01/1998,26,55,08,35,[43],67
17,28/01/1998,25,48,[02],78,33,34
18,31/01/1998,49,22,59,85,[26],25
19,05/02/1998,43,34,[77],81,86,05
20,09/02/1998,77,78,05,06,34,03
21,12/02/1998,63,13,59,75,85,87
22,14/02/1998,48,90,43,01,45,83
23,18/02/1998,49,26,59,85,22,25
24,21/02/1998,01,02,23,25,49,78
25,25/02/1998,02,14,[01],03,23,49
26,28/02/1998,03,43,67,77,49,51
27,01/03/1998,26,43,08,35,55,67
28,06/03/1998,02,25,04,52,78,23
29,10/03/1998,03,90,27,48,58,78
30,14/03/1998,06,26,77,23,34,78
31,18/03/1998,72,55,[17],31,42,43
32,21/03/1998,[77],37,10,16,49,52
33,25/03/1998,48,78,58,90,51,77
34,28/03/1998,77,80,17,25,37,48
35,02/04/1998,10,29,50,12,41,45
36,03/04/1998,13,37,87,34,09,63
37,04/04/1998,90,43,72,02,[01],29
38,07/04/1998,13,34,09,02,46,63
39,11/04/1998,49,37,29,51,55,74
40,15/04/1998,02,29,90,63,67,[82]
41,18/04/1998,40,81,82,01,27,[85]
42,22/04/1998,17,38,55,62,[05],30
43,27/04/1998,10,17,29,38,47,77
44,29/04/1998,55,48,42,43,02,17
45,08/05/1998,84,04,19,47,60,73
46,09/05/1998,[87],79,13,05,88,68
47,12/05/1998,[79],36,24,40,28,[59]
48,13/05/1998,72,05,38,14,37,50
49,16/05/1998,04,47,46,73,79,05
50,20/05/1998,87,[43],23,81,03,04
51,23/05/1998,80,[81],63,77,36,76
52,27/05/1998,29,50,87,49,16,45
53,30/05/1998,17,50,87,72,43,63
54,05/06/1998,01,17,02,72,23,78
55,06/06/1998,63,49,01,07,02,[13]
56,13/06/1998,81,37,12,24,[86],58
57,17/06/1998,28,77,23,12,06,79
58,20/06/1998,48,27,03,58,78,90
59,24/06/1998,48,35,24,27,[79],29
60,27/06/1998,81,01,06,83,87,36
61,01/07/1998,[23],[24],48,18,35,82
62,02/07/1998,79,59,48,47,27,35
63,03/07/1998,42,89,86,40,43,88
64,10/07/1998,23,29,24,73,20,50
65,11/07/1998,06,26,[25],16,85,62
66,15/07/1998,50,05,13,43,22,25
67,18/07/1998,13,43,05,50,22,87
68,22/07/1998,17,29,05,87,04,84
69,25/07/1998,87,13,05,22,43,46
70,29/07/1998,50,43,37,29,05,23
71,04/08/1998,50,25,68,05,12,43
72,07/08/1998,81,[05],02,63,79,49
73,08/08/1998,59,79,63,34,09,13
74,17/08/1998,[71],07,13,19,68,83
75,19/08/1998,85,40,81,17,38,76
76,22/08/1998,24,[48],35,23,82,18
77,26/08/1998,23,36,67,09,[66],77
78,29/08/1998,29,50,27,48,23,25
79,05/09/1998,81,[05],48,71,78,80
80,09/09/1998,40,81,16,58,38,85
81,12/09/1998,22,25,[43],05,50,13
82,16/09/1998,79,77,71,[75],51,25
83,19/09/1998,25,81,04,43,05,49
84,23/09/1998,12,13,06,63,23,27
85,26/09/1998,25,71,22,43,05,13
86,30/09/1998,40,[87],67,48,90,23
87,01/10/1998,77,35,79,80,59,10
88,06/10/1998,12,48,36,[05],[38],23
89,10/10/1998,17,77,16,80,38,51
90,14/10/1998,75,81,72,06,87,37
91,17/10/1998,71,05,01,48,85,25
92,21/10/1998,12,24,63,07,81,43
93,24/10/1998,52,49,37,82,53,16
94,28/10/1998,81,01,85,78,40,05
95,31/10/1998,27,82,85,40,[01],81
96,02/11/1998,29,67,49,42,52,53
97,03/11/1998,34,48,33,13,88,43
98,04/11/1998,37,07,22,24,12,88
99,07/11/1998,02,48,13,40,56,71
100,11/11/1998,48,23,25,24,35,68
101,14/11/1998,73,27,40,02,05,63
102,18/11/1998,25,40,87,88,68,[43]
103,21/11/1998,04,47,73,71,[36],37
104,25/11/1998,04,37,29,51,88,86
105,28/11/1998,87,63,43,04,[88],24
106,08/12/1998,48,19,12,36,56,24
107,09/12/1998,05,17,38,61,01,71
108,12/12/1998,63,13,34,02,46,49
109,16/12/1998,05,38,17,64,68,14
110,19/12/1998,81,43,11,42,77,01
111,23/12/1998,33,19,40,25,68,15
112,28/12/1998,06,57,37,15,81,16
113,30/12/1998,76,88,[49],42,28,56
114,09/01/1999,72,23,29,69,55,[26]
115,12/01/1999,40,76,71,36,80,77
116,13/01/1999,67,79,77,[23],36,09
117,16/01/1999,84,48,79,[37],36,64
118,20/01/1999,71,[56],[43],[48],73,36
119,23/01/1999,09,[36],23,77,66,67
120,27/01/1999,87,85,76,67,56,05
121,30/01/1999,77,36,05,71,66,88
122,01/02/1999,42,[12],48,43,23,29
123,06/02/1999,73,05,19,77,43,44
124,10/02/1999,[48],20,25,23,24,84
