NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,20,36,39,41,72,76
3,12/10/1997,[02],04,20,25,29,30
4,13/12/1997,02,01,14,04,03,23
5,17/12/1997,02,01,20,14,05,03
6,20/12/1997,02,01,10,[03],06,21
7,24/12/1997,02,01,06,04,05,03
8,27/12/1997,01,02,06,04,03,20
9,31/12/1997,01,02,78,04,08,20
10,04/01/1998,02,01,78,04,20,68
11,07/01/1998,02,34,43,01,36,06
12,08/01/1998,25,02,48,01,04,43
13,14/01/1998,05,[37],25,14,02,38
14,17/01/1998,[37],05,14,38,[49],72
15,21/01/1998,37,55,29,[49],06,07
16,24/01/1998,25,37,49,55,26,29
17,28/01/1998,25,37,06,07,55,[49]
18,31/01/1998,49,02,03,25,04,37
19,05/02/1998,02,25,37,49,03,26
20,09/02/1998,03,25,37,49,02,05
21,12/02/1998,37,02,49,[09],03,43
22,14/02/1998,02,49,07,03,21,[37]
23,18/02/1998,37,49,02,07,26,03
24,21/02/1998,49,37,02,07,15,11
25,25/02/1998,02,11,03,07,49,37
26,28/02/1998,04,49,02,37,07,11
27,01/03/1998,[02],01,79,07,37,11
28,06/03/1998,02,37,29,07,11,49
29,10/03/1998,37,15,29,11,48,[02]
30,14/03/1998,02,29,13,82,07,36
31,18/03/1998,02,21,29,15,07,13
32,21/03/1998,13,11,02,15,07,29
33,25/03/1998,02,11,01,29,13,07
34,28/03/1998,02,05,13,07,11,01
35,02/04/1998,02,01,29,05,13,07
36,03/04/1998,07,01,32,02,13,15
37,04/04/1998,32,02,[07],[01],29,15
38,07/04/1998,01,32,02,11,[29],15
39,11/04/1998,49,44,29,32,11,01
40,15/04/1998,29,52,49,11,15,01
41,18/04/1998,49,11,01,15,29,82
42,22/04/1998,49,[05],57,29,11,04
43,27/04/1998,05,01,11,87,17,49
44,29/04/1998,01,05,[15],02,04,57
45,08/05/1998,04,44,57,64,32,01
46,09/05/1998,05,64,[87],11,44,32
47,12/05/1998,64,11,32,44,23,57
48,13/05/1998,23,05,44,[57],64,48
49,16/05/1998,47,79,11,32,44,05
50,20/05/1998,44,11,79,23,32,08
51,23/05/1998,11,32,44,08,05,64
52,27/05/1998,70,11,32,44,05,29
53,30/05/1998,32,[11],44,08,64,70
54,05/06/1998,32,31,29,08,[64],70
55,06/06/1998,70,08,44,32,31,05
56,13/06/1998,44,14,48,29,05,08
57,17/06/1998,32,44,70,08,81,13
58,20/06/1998,05,13,08,29,44,48
59,24/06/1998,05,13,48,31,29,08
60,27/06/1998,05,13,31,32,[44],36
61,01/07/1998,[29],13,32,34,05,31
62,02/07/1998,31,13,32,[34],05,[23]
63,03/07/1998,13,32,78,05,23,03
64,10/07/1998,29,23,03,24,20,05
65,11/07/1998,14,13,32,23,78,05
66,15/07/1998,13,78,[32],05,23,03
67,18/07/1998,05,31,13,23,24,90
68,22/07/1998,05,21,03,31,29,23
69,25/07/1998,74,03,31,13,81,14
70,29/07/1998,31,29,23,90,03,14
71,04/08/1998,25,03,23,24,31,14
72,07/08/1998,25,23,81,31,13,[05]
73,08/08/1998,25,13,23,14,[31],05
74,17/08/1998,25,13,23,05,03,90
75,19/08/1998,25,13,05,90,03,74
76,22/08/1998,13,[48],25,23,14,05
77,26/08/1998,48,23,05,90,21,36
78,29/08/1998,48,23,29,21,27,83
79,05/09/1998,48,14,03,45,[44],74
80,09/09/1998,14,21,13,72,48,03
81,12/09/1998,25,71,14,21,05,73
82,16/09/1998,25,21,14,71,03,45
83,19/09/1998,25,05,14,21,43,52
84,23/09/1998,25,69,14,21,52,74
85,26/09/1998,25,22,05,43,52,14
86,30/09/1998,25,21,69,22,14,[87]
87,01/10/1998,21,25,69,14,22,29
88,06/10/1998,25,40,[14],[05],21,37
89,10/10/1998,25,40,05,[52],21,48
90,14/10/1998,05,84,25,21,40,69
91,17/10/1998,25,05,40,43,84,21
92,21/10/1998,05,13,25,40,21,69
93,24/10/1998,13,05,21,69,29,40
94,28/10/1998,69,05,13,40,21,72
95,31/10/1998,69,[21],37,35,58,[01]
96,02/11/1998,69,37,42,35,58,79
97,03/11/1998,35,58,69,79,[23],05
98,04/11/1998,37,69,[58],04,05,25
99,07/11/1998,69,05,04,78,18,47
100,11/11/1998,35,69,25,85,18,08
101,14/11/1998,[69],35,40,73,18,68
102,18/11/1998,80,25,63,40,35,54
103,21/11/1998,80,08,51,81,[32],37
104,25/11/1998,08,51,81,35,82,54
105,28/11/1998,11,08,43,81,35,51
106,08/12/1998,51,08,71,50,35,82
107,09/12/1998,82,08,35,51,54,50
108,12/12/1998,[37],82,08,49,35,51
109,16/12/1998,37,15,40,35,82,08
110,19/12/1998,37,82,08,35,51,88
111,23/12/1998,37,40,15,08,43,25
112,28/12/1998,37,40,08,[43],50,42
113,30/12/1998,37,50,81,43,56,[49]
114,09/01/1999,37,43,08,51,62,40
115,12/01/1999,37,43,50,40,81,08
116,13/01/1999,50,43,37,08,81,40
117,16/01/1999,43,[37],08,35,62,40
118,20/01/1999,37,40,50,[43],62,54
119,23/01/1999,43,37,08,35,62,50
120,27/01/1999,43,37,11,[08],35,[48]
121,30/01/1999,43,37,54,48,62,35
122,01/02/1999,43,48,37,35,[54],40
123,06/02/1999,43,37,35,73,48,50
124,10/02/1999,43,41,35,[48],29,62
125,13/02/1999,43,56,48,35,41,45
126,17/02/1999,48,43,41,37,35,72
127,20/02/1999,43,35,41,48,29,62
128,24/02/1999,43,37,35,[41],62,63
129,27/02/1999,43,37,35,29,45,40
130,02/03/1999,43,29,53,35,50,56
131,03/03/1999,43,56,35,27,63,88
132,04/03/1999,88,29,35,53,40,50
133,05/03/1999,48,37,35,[50],53,40
134,07/03/1999,48,43,40,49,35,[53]
135,11/03/1999,48,43,11,49,73,35
136,13/03/1999,48,73,43,11,29,35
137,17/03/1999,48,73,43,06,49,11
138,20/03/1999,[43],48,73,35,06,29
139,24/03/1999,43,48,73,06,35,47
140,27/03/1999,35,29,73,48,43,[27]
141,31/03/1999,73,48,29,35,43,45
142,08/04/1999,73,29,35,11,43,25
143,09/04/1999,73,29,35,11,43,45
144,12/04/1999,35,29,73,11,87,72
145,14/04/1999,29,35,73,88,11,72
146,17/04/1999,[73],29,35,80,57,11
147,21/04/1999,63,35,29,57,11,15
148,24/04/1999,35,29,63,11,15,43
149,28/04/1999,43,35,29,48,11,15
150,05/05/1999,15,35,06,48,40,62
151,06/05/1999,81,63,11,15,35,48
152,15/05/1999,48,35,43,63,29,40
153,19/05/1999,48,[35],05,81,29,11
154,22/05/1999,63,11,29,81,48,88
155,26/05/1999,81,11,29,48,43,31
156,29/05/1999,15,11,29,48,81,43
157,02/06/1999,81,29,11,48,15,80
158,03/06/1999,11,43,48,15,10,05
159,10/06/1999,11,48,29,71,05,31
160,11/06/1999,05,31,11,48,57,02
161,16/06/1999,57,11,[05],48,81,[29]
162,19/06/1999,02,11,81,73,57,64
163,23/06/1999,02,11,57,15,48,81
164,26/06/1999,11,48,06,88,02,57
165,30/06/1999,37,48,90,15,11,40
166,01/07/1999,37,11,15,86,87,02
167,04/07/1999,11,15,37,43,21,23
168,07/07/1999,11,57,02,06,43,89
169,08/07/1999,11,06,89,43,02,57
170,14/07/1999,37,02,43,11,57,15
171,17/07/1999,63,57,11,02,15,47
172,21/07/1999,02,57,[11],63,43,88
173,24/07/1999,44,24,15,21,63,17
174,28/07/1999,15,63,43,23,[13],17
175,31/07/1999,63,13,15,57,67,17
176,05/08/1999,63,13,[15],88,17,02
177,09/08/1999,17,02,47,21,57,63
178,14/08/1999,13,48,47,21,57,34
179,18/08/1999,47,81,21,57,02,17
180,21/08/1999,13,21,02,47,68,57
181,25/08/1999,13,47,21,64,57,67
182,28/08/1999,13,67,57,47,23,21
183,01/09/1999,[13],57,21,64,67,[23]
184,06/09/1999,57,67,13,66,06,21
185,10/09/1999,13,21,23,77,67,06
186,12/09/1999,13,21,67,23,57,77
187,15/09/1999,23,13,45,37,77,21
188,18/09/1999,21,23,02,06,57,13
189,22/09/1999,21,18,57,67,13,77
190,25/09/1999,13,57,23,21,15,18
191,29/09/1999,57,13,37,80,21,02
192,02/10/1999,88,37,16,[80],13,21
193,03/10/1999,16,88,13,37,21,57
194,04/10/1999,13,37,16,88,21,57
195,07/10/1999,18,21,57,13,16,37
