NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
2,12/06/1997,17,[30],31,48,69,72
3,12/10/1997,17,31,60,65,69,72
4,13/12/1997,18,[22],31,65,69,80
5,17/12/1997,22,31,50,[65],69,83
6,20/12/1997,22,30,31,50,65,80
7,24/12/1997,22,30,31,50,65,80
8,27/12/1997,22,30,31,50,65,80
9,31/12/1997,22,29,32,50,65,80
10,04/01/1998,29,45,50,65,80,83
11,07/01/1998,06,22,29,45,80,83
12,08/01/1998,06,15,18,29,65,80
13,14/01/1998,18,22,25,45,79,83
14,17/01/1998,18,25,32,72,79,83
15,21/01/1998,18,32,65,72,79,83
16,24/01/1998,18,32,65,72,79,83
17,28/01/1998,18,25,37,50,[79],83
18,31/01/1998,18,25,37,50,79,83
19,05/02/1998,18,37,43,50,55,[79]
20,09/02/1998,03,37,50,55,79,[83]
21,12/02/1998,05,24,37,50,79,83
22,14/02/1998,[37],43,48,50,79,83
23,18/02/1998,25,37,43,[50],79,83
24,21/02/1998,03,25,37,43,50,79
25,25/02/1998,03,25,37,43,50,79
26,28/02/1998,03,25,37,43,50,[79]
27,01/03/1998,03,25,37,43,50,79
28,06/03/1998,03,37,43,[50],79,83
29,10/03/1998,03,37,43,50,77,79
30,14/03/1998,03,37,43,50,77,79
31,18/03/1998,03,37,43,50,55,79
32,21/03/1998,03,37,43,50,55,79
33,25/03/1998,03,37,43,45,50,79
34,28/03/1998,03,37,45,48,[50],79
35,02/04/1998,03,37,45,50,77,79
36,03/04/1998,03,37,48,77,[79],83
37,04/04/1998,03,05,36,37,79,83
38,07/04/1998,01,05,36,37,79,83
39,11/04/1998,01,05,36,37,[72],79
40,15/04/1998,[05],18,36,37,77,79
41,18/04/1998,18,36,37,40,79,81
42,22/04/1998,18,36,[40],50,72,79
43,27/04/1998,[18],40,50,72,79,81
44,29/04/1998,18,[29],40,63,72,79
45,08/05/1998,05,18,[40],63,72,[79]
46,09/05/1998,05,18,40,63,72,79
47,12/05/1998,05,18,40,63,72,[79]
48,13/05/1998,05,18,36,40,72,79
49,16/05/1998,05,18,36,40,72,79
50,20/05/1998,[05],18,40,62,72,79
51,23/05/1998,15,18,40,62,72,79
52,27/05/1998,05,18,40,79,81,83
53,30/05/1998,05,15,18,40,79,83
54,05/06/1998,[05],15,18,40,79,[81]
