METRICA,VALORE,NOTE
Concorsi analizzati,4213,Conteggio archivio dal concorso 1 al concorso 4213
Media hit/sestina,0.39,Media numeri corretti per concorso
Hit rate >= 2,4.6%,Percentuale concorsi con almeno 2 hit
Hit rate >= 3,0.3%,Percentuale concorsi con almeno 3 hit
Hit rate >= 4,0.0%,Percentuale concorsi con almeno 4 hit
Hit rate >= 5,0.000%,Percentuale concorsi con almeno 5 hit
Hit rate >= 6,0.00000%,Percentuale concorsi con 6 hit
Con 2 hit,182,Numero concorsi con esattamente 2 hit
Con 3 hit,12,Numero concorsi con esattamente 3 hit
Con 4 hit,0,Numero concorsi con esattamente 4 hit
Con 5 hit,0,Numero concorsi con esattamente 5 hit
Con 6 hit,0,Numero concorsi con esattamente 6 hit
Best streak,6,Massima sequenza di concorsi con almeno 1 hit
Distribuzione hit 0-6,0: 2777 | 1: 1241 | 2: 182 | 3: 12 | 4: 0 | 5: 0 | 6: 0,"Conteggio concorsi con esattamente 0, 1, 2, 3, 4, 5 o 6 hit"
Ultimo concorso calcolato,4213,Data estrazione: 13/06/2026
Concorso successivo stimato,4214,Sestina proposta: 03 06 28 54 57 65
Sestina proposta (prossimo concorso),03 06 28 54 57 65,Calcolata da scoring neurale su finestra storica recente
