NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
23,18/02/1998,01,26,44,53,55,87
24,21/02/1998,[19],34,45,53,54,66
25,25/02/1998,13,35,59,70,74,80
26,28/02/1998,04,62,[75],76,78,[87]
27,01/03/1998,[02],40,64,71,80,[90]
28,06/03/1998,28,34,55,59,77,85
29,10/03/1998,15,45,[63],72,78,89
30,14/03/1998,22,40,49,61,66,78
31,18/03/1998,21,31,39,54,70,73
32,21/03/1998,26,50,57,62,70,88
33,25/03/1998,01,44,46,66,69,89
34,28/03/1998,14,33,56,57,72,78
35,02/04/1998,02,37,47,55,57,77
36,03/04/1998,07,42,45,47,85,[88]
37,04/04/1998,06,27,43,48,57,71
38,07/04/1998,06,24,40,43,72,78
39,11/04/1998,26,44,55,74,[75],88
40,15/04/1998,25,43,52,55,78,81
41,18/04/1998,02,26,51,54,77,80
42,22/04/1998,12,39,74,77,88,89
43,27/04/1998,11,26,81,85,87,89
44,29/04/1998,[15],48,65,71,78,89
45,08/05/1998,04,13,74,77,82,90
46,09/05/1998,07,[16],64,71,83,[87]
47,12/05/1998,16,24,31,[47],64,73
48,13/05/1998,12,[15],28,48,68,80
49,16/05/1998,01,06,16,46,54,76
50,20/05/1998,06,16,44,56,57,74
51,23/05/1998,09,18,34,45,50,84
52,27/05/1998,24,45,58,61,70,77
53,30/05/1998,59,62,71,75,80,[86]
54,05/06/1998,27,61,65,68,77,82
55,06/06/1998,27,70,73,81,85,86
56,13/06/1998,19,47,61,72,73,75
57,17/06/1998,51,53,75,81,83,88
58,20/06/1998,01,29,47,[63],88,90
59,24/06/1998,25,31,39,62,85,90
60,27/06/1998,03,05,10,20,60,80
61,01/07/1998,25,[29],34,46,51,87
62,02/07/1998,31,[34],38,40,61,86
63,03/07/1998,50,54,61,75,76,78
64,10/07/1998,01,03,29,[51],63,88
65,11/07/1998,14,[25],47,50,76,88
66,15/07/1998,39,44,49,62,78,89
67,18/07/1998,15,30,51,59,89,90
68,22/07/1998,21,26,[56],62,87,90
69,25/07/1998,06,52,60,74,81,86
70,29/07/1998,08,22,26,57,[83],90
71,04/08/1998,03,08,[22],44,57,71
72,07/08/1998,27,33,36,56,64,70
73,08/08/1998,35,39,58,71,79,80
74,17/08/1998,19,31,36,44,77,78
75,19/08/1998,02,08,[16],27,56,87
76,22/08/1998,13,25,39,[48],81,87
77,26/08/1998,05,21,27,44,69,90
78,29/08/1998,21,23,51,55,62,79
79,05/09/1998,11,18,33,[44],55,87
80,09/09/1998,11,12,18,44,54,82
81,12/09/1998,37,66,71,73,77,89
82,16/09/1998,34,36,59,62,84,85
83,19/09/1998,24,37,50,52,83,89
84,23/09/1998,38,44,64,69,82,86
85,26/09/1998,[40],52,53,62,77,84
86,30/09/1998,51,55,68,79,83,86
87,01/10/1998,13,34,41,82,87,88
88,06/10/1998,[14],33,37,55,88,89
89,10/10/1998,14,[42],[43],57,67,85
90,14/10/1998,05,[42],49,59,67,84
91,17/10/1998,05,33,67,72,83,90
92,21/10/1998,32,37,45,62,65,78
93,24/10/1998,01,03,[26],29,66,87
94,28/10/1998,04,43,66,75,81,83
95,31/10/1998,[01],42,50,53,66,79
96,02/11/1998,[02],38,62,70,75,85
97,03/11/1998,35,61,64,65,75,90
98,04/11/1998,04,38,42,70,87,89
99,07/11/1998,04,42,59,78,80,86
100,11/11/1998,24,32,34,45,46,66
101,14/11/1998,03,04,27,[69],75,79
102,18/11/1998,25,34,58,61,78,80
103,21/11/1998,19,20,46,47,72,80
104,25/11/1998,31,[39],55,80,[85],89
105,28/11/1998,11,26,45,74,87,89
106,08/12/1998,23,[33],50,71,[77],[88]
107,09/12/1998,30,34,63,67,83,89
108,12/12/1998,46,49,56,59,74,89
109,16/12/1998,15,24,38,52,86,89
110,19/12/1998,07,22,56,57,82,88
111,23/12/1998,[03],37,57,61,62,66
112,28/12/1998,12,42,49,52,64,79
113,30/12/1998,[49],68,71,72,78,81
114,09/01/1999,[32],33,62,78,82,89
115,12/01/1999,26,37,[44],52,85,88
116,13/01/1999,30,34,39,50,88,89
117,16/01/1999,13,18,56,66,76,89
118,20/01/1999,42,[56],62,63,65,77
119,23/01/1999,04,19,30,77,79,87
120,27/01/1999,11,19,69,78,81,84
121,30/01/1999,[14],39,54,60,62,71
122,01/02/1999,48,53,69,73,86,89
123,06/02/1999,09,21,51,54,[69],87
124,10/02/1999,60,69,70,77,86,90
125,13/02/1999,45,46,56,63,70,89
126,17/02/1999,19,41,58,60,72,87
127,20/02/1999,02,07,33,49,76,80
128,24/02/1999,13,27,53,58,64,85
129,27/02/1999,14,22,60,74,[75],86
130,02/03/1999,09,29,53,56,71,72
131,03/03/1999,26,56,60,78,79,[80]
132,04/03/1999,31,[33],75,76,77,82
133,05/03/1999,23,24,46,67,75,79
134,07/03/1999,05,[07],15,58,61,[90]
135,11/03/1999,[42],52,59,60,79,80
136,13/03/1999,[20],29,55,59,61,73
137,17/03/1999,49,61,[70],71,73,80
138,20/03/1999,13,[43],49,56,82,[89]
139,24/03/1999,20,43,47,56,71,87
140,27/03/1999,34,57,66,70,77,79
141,31/03/1999,20,[60],[71],74,79,[85]
142,08/04/1999,67,69,70,[78],79,88
143,09/04/1999,03,44,65,[69],73,[81]
144,12/04/1999,38,67,74,87,89,90
145,14/04/1999,32,49,61,66,71,88
146,17/04/1999,56,64,[73],82,[83],87
147,21/04/1999,22,57,59,63,72,78
