NR. SEQUENZIALE,DATA,N1,N2,N3,N4,N5,N6
58,20/06/1998,55,56,60,69,75,86
59,24/06/1998,26,27,45,64,86,89
60,27/06/1998,[38],51,64,68,84,88
61,01/07/1998,08,39,41,51,55,69
62,02/07/1998,11,38,39,77,81,84
63,03/07/1998,55,63,70,[71],76,85
64,10/07/1998,33,[51],60,61,85,86
65,11/07/1998,44,46,57,66,72,78
66,15/07/1998,16,38,44,63,83,86
67,18/07/1998,25,31,57,74,79,81
68,22/07/1998,05,19,21,30,60,79
69,25/07/1998,53,55,64,67,74,[76]
70,29/07/1998,26,32,46,67,77,[89]
71,04/08/1998,03,06,43,65,70,76
72,07/08/1998,11,[20],47,56,71,75
73,08/08/1998,10,43,53,77,81,82
74,17/08/1998,38,50,61,72,80,90
75,19/08/1998,17,40,59,74,86,90
76,22/08/1998,14,33,47,59,68,71
77,26/08/1998,25,35,53,65,[76],79
78,29/08/1998,[53],69,85,86,87,[88]
79,05/09/1998,42,[44],51,67,71,75
80,09/09/1998,51,52,58,66,72,86
81,12/09/1998,07,21,38,[43],82,88
82,16/09/1998,21,30,34,54,68,78
83,19/09/1998,02,41,58,64,67,84
84,23/09/1998,02,24,30,65,66,79
85,26/09/1998,24,32,54,76,83,86
86,30/09/1998,03,23,32,60,69,[87]
87,01/10/1998,23,29,43,66,72,85
88,06/10/1998,26,30,34,39,73,87
89,10/10/1998,26,38,[49],86,87,89
90,14/10/1998,17,21,43,53,78,89
91,17/10/1998,33,40,49,77,85,89
92,21/10/1998,36,[50],53,67,77,87
93,24/10/1998,13,17,24,70,71,87
94,28/10/1998,[37],57,59,[80],82,85
95,31/10/1998,03,10,54,75,78,83
96,02/11/1998,33,42,46,66,75,87
97,03/11/1998,45,48,62,[74],81,90
98,04/11/1998,34,40,60,62,70,86
99,07/11/1998,05,50,53,[60],65,77
100,11/11/1998,28,35,[38],47,48,54
101,14/11/1998,03,17,47,56,65,78
102,18/11/1998,32,54,57,63,85,89
103,21/11/1998,37,41,48,51,[56],85
104,25/11/1998,20,27,62,66,71,87
105,28/11/1998,11,24,30,71,78,90
106,08/12/1998,16,45,51,71,78,87
107,09/12/1998,32,62,66,73,78,82
108,12/12/1998,16,33,46,72,75,88
109,16/12/1998,18,41,53,54,87,89
110,19/12/1998,08,39,68,72,82,84
111,23/12/1998,05,[14],18,19,24,59
112,28/12/1998,16,21,56,60,62,68
113,30/12/1998,20,21,[49],54,57,85
114,09/01/1999,16,38,51,53,78,82
115,12/01/1999,04,55,58,72,76,77
116,13/01/1999,03,14,[18],48,62,82
117,16/01/1999,34,40,45,62,75,82
118,20/01/1999,40,50,54,69,72,90
119,23/01/1999,21,23,44,[46],62,82
120,27/01/1999,27,[48],64,79,80,82
121,30/01/1999,55,56,63,77,79,87
122,01/02/1999,23,33,43,[58],75,85
123,06/02/1999,37,53,73,79,81,83
124,10/02/1999,41,46,47,59,60,87
125,13/02/1999,25,45,47,53,69,86
126,17/02/1999,43,51,61,75,76,81
127,20/02/1999,18,39,60,64,78,81
128,24/02/1999,[32],59,63,68,70,80
129,27/02/1999,43,44,46,56,70,85
130,02/03/1999,40,57,60,77,[80],85
131,03/03/1999,02,46,56,59,71,90
132,04/03/1999,07,12,54,61,65,79
133,05/03/1999,22,35,62,70,79,80
134,07/03/1999,14,23,57,62,77,87
135,11/03/1999,56,57,60,62,69,74
136,13/03/1999,21,44,59,63,67,75
137,17/03/1999,43,[45],55,57,84,87
138,20/03/1999,34,51,57,59,60,67
139,24/03/1999,20,39,43,60,69,70
140,27/03/1999,25,37,51,59,70,74
141,31/03/1999,36,45,46,47,56,68
142,08/04/1999,03,[46],52,53,56,74
143,09/04/1999,[40],49,51,67,[76],79
144,12/04/1999,22,23,25,58,79,83
145,14/04/1999,24,50,64,65,82,87
146,17/04/1999,12,50,57,68,76,90
147,21/04/1999,43,56,69,78,85,86
148,24/04/1999,08,11,43,66,85,88
149,28/04/1999,13,58,62,[73],75,84
150,05/05/1999,25,62,64,72,74,86
151,06/05/1999,[52],56,61,78,81,86
152,15/05/1999,26,51,[54],74,78,[90]
153,19/05/1999,09,[23],55,56,76,86
154,22/05/1999,37,60,63,71,76,86
155,26/05/1999,43,60,77,84,87,89
156,29/05/1999,37,59,60,66,69,80
157,02/06/1999,40,47,53,68,82,87
158,03/06/1999,32,51,53,54,79,83
159,10/06/1999,36,45,62,66,83,86
160,11/06/1999,25,34,69,70,71,76
161,16/06/1999,26,28,[56],57,79,81
162,19/06/1999,34,39,43,[58],80,86
163,23/06/1999,41,50,66,69,88,[90]
164,26/06/1999,26,32,56,58,73,88
165,30/06/1999,40,45,51,75,86,90
166,01/07/1999,51,66,75,76,88,90
167,04/07/1999,[13],28,50,51,[70],83
168,07/07/1999,49,51,64,73,80,[87]
169,08/07/1999,32,65,71,72,84,89
170,14/07/1999,42,58,69,82,[84],90
171,17/07/1999,[35],36,57,65,78,79
172,21/07/1999,57,59,68,69,75,88
173,24/07/1999,39,53,72,77,80,87
174,28/07/1999,41,51,65,73,75,76
175,31/07/1999,51,58,59,[73],[77],86
176,05/08/1999,59,72,74,82,84,87
177,09/08/1999,35,[48],52,83,86,89
178,14/08/1999,14,24,48,53,68,[85]
179,18/08/1999,18,47,62,70,78,90
180,21/08/1999,07,44,50,62,76,86
181,25/08/1999,47,48,56,58,62,85
182,28/08/1999,30,35,38,44,84,88
183,01/09/1999,07,24,33,38,51,69
184,06/09/1999,30,42,50,57,66,76
185,10/09/1999,21,47,50,[80],87,88
186,12/09/1999,17,21,28,68,85,89
187,15/09/1999,35,41,50,[73],77,85
188,18/09/1999,[12],18,43,59,[60],62
189,22/09/1999,35,51,54,77,83,84
190,25/09/1999,45,52,58,62,70,83
191,29/09/1999,32,36,57,[67],76,90
192,02/10/1999,[04],35,56,59,61,69
193,03/10/1999,14,28,55,59,65,[69]
194,04/10/1999,39,52,65,73,74,77
195,07/10/1999,06,11,47,49,52,70
196,11/10/1999,30,59,64,66,85,86
197,13/10/1999,08,[24],50,66,79,84
198,16/10/1999,11,33,39,56,87,88
199,20/10/1999,44,48,50,57,59,[88]
200,23/10/1999,35,41,55,65,87,88
201,27/10/1999,19,35,66,78,80,86
202,30/10/1999,57,58,75,78,83,85
203,08/11/1999,43,47,56,69,82,89
204,09/11/1999,02,52,53,56,72,81
205,12/11/1999,[06],23,53,61,70,[77]
206,13/11/1999,13,25,36,38,68,79
207,17/11/1999,02,20,40,45,56,71
208,20/11/1999,12,22,53,57,70,79
209,24/11/1999,32,59,69,78,82,83
210,27/11/1999,05,42,47,51,69,81
211,05/12/1999,49,70,73,77,80,90
212,06/12/1999,38,58,60,61,63,75
213,15/12/1999,07,[28],48,53,63,75
214,18/12/1999,44,54,60,68,74,81
215,22/12/1999,07,18,21,66,68,77
216,27/12/1999,03,24,38,48,62,89
217,29/12/1999,26,41,68,74,85,[88]
218,03/01/2000,10,17,49,61,79,85
219,04/01/2000,20,26,31,35,57,79
220,07/01/2000,12,33,54,68,69,79
221,15/01/2000,20,24,28,71,79,83
222,19/01/2000,04,32,41,58,64,77
223,22/01/2000,41,43,52,[60],82,88
224,26/01/2000,10,33,35,[73],76,79
225,29/01/2000,01,06,13,32,48,72
226,02/02/2000,08,54,60,75,82,85
227,08/02/2000,05,32,50,66,82,90
